Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,ADDISON CENTRAL SCHOOL,(NO IMMS SURVEY) VALLEY EARLY CHILDHOOD PREK,Steuben,Public School,570101040003,www.addisoncsd.org,14.0,14.0,14.0,14.0,Yes,14,0,,,,6786 County Rt. 119,Cameron Mills,NY,14820,08/08/2025,,,VALLEY EARLY CHILDHOOD,,23.0,106.0,0.2169811320754717,13.25,0.0,0.0,0.0094339622641509,0.0,0.9622641509433962,0.0,0.0283018867924528
2023-2025,ADDISON CENTRAL SCHOOL,ADDISON H S,Steuben,Public School,570101040002,www.addisoncsd.org,46.0,46.0,46.0,46.0,,46,0,Yes,,,1 COLWELL ST,ADDISON,NY,14801,08/07/2025,,,ADDISON S,,234.0,515.0,0.4543689320388349,10.33,0.0,0.003883495145631,0.003883495145631,0.0155339805825242,0.9650485436893204,0.0,0.0116504854368932
2023-2025,ADDISON CENTRAL SCHOOL,TUSCARORA ELEM SCHOOL,Steuben,Public School,570101040001,www.addisonscd.org,54.0,54.0,54.0,50.0,Yes,50,4,Yes,Yes,Ongoing,CLEVELAND DR,ADDISON,NY,14801,08/07/2025,,,TUSCARORA  SCHOOL,,225.0,421.0,0.5344418052256532,11.34,0.0,0.0,0.0,0.0190023752969121,0.9714964370546318,0.0,0.009501187648456
2023-2025,ADIRONDACK CENT SCH-BOONVILLE,ADIRONDACK H S,Oneida,Public School,410401060005,www.adirondackcsd.org,37.0,37.0,0.0,0.0,No,82,2,Yes,Yes,Complete,8181 ST. RT. 294,BOONVILLE,NY,13309,04/05/2024,,,ADIRONDACK S,,155.0,370.0,0.4189189189189189,,0.0,0.0,0.0108108108108108,0.0,0.9756756756756756,0.0,0.0108108108108108
2023-2025,ADIRONDACK CENT SCH-BOONVILLE,BOONVILLE ELEMENTARY SCHOOL,Oneida,Public School,410401060004,www.adirondackcsd.org,30.0,30.0,0.0,0.0,No,82,2,Yes,Yes,Complete,110 FORD ST,BOONVILLE,NY,13309,04/05/2024,,,BOONVILLE ELEMENTARY SCHOOL,,180.0,420.0,0.4285714285714285,,0.0,0.0095238095238095,0.0071428571428571,0.0071428571428571,0.9666666666666668,0.0,0.0095238095238095
2023-2025,ADIRONDACK CENT SCH-BOONVILLE,WEST LEYDEN ELEM SCHOOL,Oneida,Public School,410401060002,www.adirondackcsd.org,15.0,15.0,0.0,0.0,No,82,0,Yes,Yes,Complete,1157 FISH CREEK ROAD,WEST LEYDEN,NY,13489,04/05/2024,,,WEST LEYDEN  SCHOOL,,101.0,249.0,0.4056224899598393,11.98,0.0,0.0,0.0,0.0321285140562249,0.9196787148594378,0.0,0.0481927710843373
2023-2025,AFTON CENTRAL SCHOOL DISTRICT,AFTON CENTRAL SCHOOL K-12,Chenango,Public School,80101040003,aftoncsd.org,21.0,,21.0,,Yes,21,0,Yes,,,29 ACADEMY ST,AFTON,NY,13730,03/29/2024,,,AFTON CENTRAL SCHOOL K12,,106.0,213.0,0.4976525821596244,8.45,0.0,0.0046948356807511,0.0187793427230046,0.0469483568075117,0.9107981220657276,0.0,0.0187793427230046
2023-2025,AFTON CENTRAL SCHOOL DISTRICT,AFTON ES,Chenango,Public School,80101040002,Aftoncsd.org,36.0,,36.0,,,36,0,Yes,,,29 ACADEMY ST,AFTON,NY,13730,03/29/2024,,,AFTON,,106.0,213.0,0.4976525821596244,8.45,0.0,0.0046948356807511,0.0187793427230046,0.0469483568075117,0.9107981220657276,0.0,0.0187793427230046
2023-2025,ALBION CENTRAL SCHOOL,ALBION ELEMENTARY SCHOOL,Orleans,Public School,450101060002,https://www.albionk12.org/page/buildings-grounds,237.0,0.0,0.0,237.0,Yes,224,13,Yes,Yes,Ongoing,324 EAST AVE,ALBION,NY,14411,04/23/2025,,,ALBION ELEMENTARY SCHOOL,,469.0,872.0,0.5378440366972477,13.36,0.0057339449541284,0.0045871559633027,0.1227064220183486,0.1192660550458715,0.7408256880733946,0.003440366972477,0.003440366972477
2023-2025,ALBION CENTRAL SCHOOL,ALBION H S,Orleans,Public School,450101060003,https://www.albionk12.org/page/buildings-grounds,94.0,0.0,0.0,94.0,Yes,85,9,Yes,Yes,Ongoing,302 EAST AVE,ALBION,NY,14411,04/23/2025,,,ALBION S,,327.0,525.0,0.6228571428571429,11.95,0.0114285714285714,0.0076190476190476,0.1104761904761904,0.1333333333333333,0.7333333333333333,0.0019047619047619,0.0019047619047619
2023-2025,ALBION CENTRAL SCHOOL,ALBION MIDDLE SCHOOL,Orleans,Public School,450101060005,https://www.albionk12.org/page/buildings-grounds,89.0,0.0,0.0,89.0,Yes,78,11,Yes,Yes,Ongoing,254 EAST AVE,ALBION,NY,14411,04/23/2025,,,ALBION MIDDLE SCHOOL,,221.0,360.0,0.6138888888888889,8.91,0.0027777777777777,0.0083333333333333,0.1333333333333333,0.1222222222222222,0.7277777777777777,0.0055555555555555,0.0
2023-2025,ALDEN CENTRAL SCHOOL,ALDEN INTERMEDIATE SCHOOL,Erie,Public School,140101060007,www.aldenschools.org,67.0,0.0,0.0,67.0,Yes,63,4,Yes,Yes,Complete,1648 CRITTENDEN ROAD,ALDEN,NY,14004,02/27/2025,,,ALDEN INTERMEDIATE SCHOOL,,101.0,338.0,0.2988165680473373,11.24,0.0059171597633136,0.0059171597633136,0.0088757396449704,0.0177514792899408,0.9378698224852072,0.0,0.0236686390532544
2023-2025,ALDEN CENTRAL SCHOOL,ALDEN MIDDLE SCHOOL,Erie,Public School,140101060005,www.aldenschools.org,52.0,0.0,0.0,52.0,Yes,51,1,Yes,Yes,Complete,13250 PARK STREET,ALDEN,NY,14004,02/27/2025,,,ALDEN MIDDLE SCHOOL,,106.0,356.0,0.297752808988764,10.88,0.0084269662921348,0.0028089887640449,0.0056179775280898,0.0140449438202247,0.9634831460674156,0.0,0.0056179775280898
2023-2025,ALDEN CENTRAL SCHOOL,ALDEN PRIMARY SCHOOL,Erie,Public School,140101060003,www.aldenschools.org,73.0,0.0,0.0,70.0,Yes,70,3,Yes,Yes,Complete,11197 BROADWAY,ALDEN,NY,14004,02/27/2025,,,ALDEN  SCHOOL,,101.0,338.0,0.2988165680473373,11.24,0.0059171597633136,0.0059171597633136,0.0088757396449704,0.0177514792899408,0.9378698224852072,0.0,0.0236686390532544
2023-2025,ALDEN CENTRAL SCHOOL,ALDEN SENIOR HIGH SCHOOL,Erie,Public School,140101060006,www.aldenschools.org,73.0,0.0,0.0,73.0,Yes,67,5,Yes,Yes,Complete,13190 PARK STREET,ALDEN,NY,14004,05/02/2025,,,ALDEN SENIOR HIGH SCHOOL,,137.0,496.0,0.2762096774193548,14.45,0.0100806451612903,0.0100806451612903,0.002016129032258,0.0241935483870967,0.9455645161290324,0.002016129032258,0.0060483870967741
2023-2025,ALEXANDRIA CENTRAL ELEM. & HIGH SCHO,ALEXANDRIA CENTRAL ES,Jefferson,Public School,220202040001,https://www.alexandriacentral.org/,35.0,0.0,35.0,0.0,Yes,33,2,Yes,Yes,Ongoing,34 BOLTON AVENUE,ALEXANDRIA BAY,NY,13607,04/08/2024,,,ALEXANDRIA CENTRAL,,110.0,249.0,0.4417670682730923,9.67,0.0,0.0,0.0160642570281124,0.0240963855421686,0.9437751004016064,0.0,0.0160642570281124
2023-2025,ALEXANDRIA CENTRAL ELEM. & HIGH SCHO,ALEXANDRIA CENTRAL HS,Jefferson,Public School,220202040002,https://www.alexandriacentral.org/,36.0,0.0,36.0,0.0,Yes,35,1,Yes,Yes,Ongoing,34 BOLTON AVENUE,ALEXANDRIA BAY,NY,13607,04/08/2024,,,ALEXANDRIA CENTRAL,,110.0,249.0,0.4417670682730923,9.67,0.0,0.0,0.0160642570281124,0.0240963855421686,0.9437751004016064,0.0,0.0160642570281124
