Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,PRE-K CENTER @1215 AVENUE X - BROOKLYN,Kings,Public School,K787,https://www.schools.nyc.gov/schools/K840,30.0,30.0,0.0,0.0,Yes,30,0,Yes,,,1215 Avenue X,Brooklyn,NY,11235,10/20/2023,"(40.591864, -73.958422)","(40.591864, -73.958422)",CENTER @1215 AVENUE BROOKLYN,,170.0,188.0,0.9042553191489362,7.52,0.005319148936170213,0.02127659574468085,0.5638297872340425,0.3829787234042553,0.010638297872340425,0.005319148936170213,0.010638297872340425
2023-2025,NYC DOE,PRE-K CENTER @1340 EAST 29TH STREET - BROOKLYN,Kings,Public School,K063,https://www.schools.nyc.gov/schools/K853,39.0,39.0,0.0,0.0,Yes,39,0,Yes,,,1340 EAST 29TH STREET,Brooklyn,NY,11210,11/03/2023,"(40.61845, -73.94633)","(40.61845, -73.94633)",CENTER @1340 EAST 29TH STREET BROOKLYN,,170.0,188.0,0.9042553191489362,7.52,0.005319148936170213,0.02127659574468085,0.5638297872340425,0.3829787234042553,0.010638297872340425,0.005319148936170213,0.010638297872340425
2023-2025,NYC DOE,PRE-K CENTER @1355 84TH STREET - BROOKLYN,Kings,Public School,K762,https://www.schools.nyc.gov/schools/K768,33.0,33.0,0.0,0.0,Yes,33,0,Yes,,,1355 84th Street,Brooklyn,NY,11228,08/17/2023,"(40.614474, -74.011426)","(40.614474, -74.011426)",CENTER @1355 84TH STREET BROOKLYN,,170.0,188.0,0.9042553191489362,7.52,0.005319148936170213,0.02127659574468085,0.5638297872340425,0.3829787234042553,0.010638297872340425,0.005319148936170213,0.010638297872340425
2023-2025,NYC DOE,"PRE-K CENTER @1668 46TH STREET, BROOKLYN, NY 11204",Kings,Public School,K767,https://www.schools.nyc.gov/schools/K768,38.0,38.0,0.0,0.0,Yes,38,0,Yes,,,1668 46th Street,Brooklyn,NY,11204,10/20/2023,"(40.631776, -73.982211)","(40.631776, -73.982211)",CENTER @1668 46TH STREET,,170.0,188.0,0.9042553191489362,7.52,0.005319148936170213,0.02127659574468085,0.5638297872340425,0.3829787234042553,0.010638297872340425,0.005319148936170213,0.010638297872340425
2023-2025,NYC DOE,PRE-K CENTER @168-42 JAMAICA AVENUE - QUEENS,Queens,Public School,Q381,https://www.schools.nyc.gov/schools/Q381,30.0,30.0,0.0,0.0,Yes,30,0,Yes,,,168-42 JAMAICA AVENUE,Queens,NY,11432,11/03/2023,"(40.706724, -73.791304)","(40.706724, -73.791304)",CENTER @16842 JAMAICA AVENUE QUEENS,,,,,,,,,,,,
2023-2025,NYC DOE,PRE-K CENTER @22ND AVENUE - QUEENS,Queens,Public School,Q454,https://www.schools.nyc.gov/schools/Z118,23.0,0.0,23.0,0.0,Yes,23,0,Yes,,,123-07 22ND AVENUE,QUEENS,NY,11356,06/28/2024,"(40.780363, -73.844811)","(40.780363, -73.844811)",CENTER @22ND AVENUE QUEENS,,,,,,,,,,,,
2023-2025,NYC DOE,PRE-K CENTER @25TH STREET - BROOKLYN,Kings,Public School,K749,https://www.schools.nyc.gov/schools/K767,31.0,31.0,0.0,0.0,Yes,31,0,Yes,,,173-177 25TH STREET,Brooklyn,NY,11232,11/03/2023,"(40.661059, -73.998973)","(40.661059, -73.998973)",CENTER @25TH STREET BROOKLYN,,170.0,188.0,0.9042553191489362,7.52,0.005319148936170213,0.02127659574468085,0.5638297872340425,0.3829787234042553,0.010638297872340425,0.005319148936170213,0.010638297872340425
2023-2025,NYC DOE,PRE-K CENTER @25TH STREET - BROOKLYN,Kings,Public School,K661,https://www.schools.nyc.gov/schools/K767,24.0,0.0,24.0,0.0,Yes,24,0,Yes,,,219 25TH STREET,BROOKLYN,NY,11232,05/31/2024,"(40.660159, -73.997034)","(40.660159, -73.997034)",CENTER @25TH STREET BROOKLYN,,170.0,188.0,0.9042553191489362,7.52,0.005319148936170213,0.02127659574468085,0.5638297872340425,0.3829787234042553,0.010638297872340425,0.005319148936170213,0.010638297872340425
2023-2025,NYC DOE,PRE-K CENTER @3560 WEBSTER AVENUE - BRONX,Bronx,Public School,X373,https://www.schools.nyc.gov/schools/X535,9.0,9.0,0.0,0.0,Yes,9,0,Yes,,,3560 WEBSTER AVENUE,Bronx,NY,10467,12/01/2023,"(40.881076, -73.870212)","(40.881076, -73.870212)",CENTER @3560 WEBSTER AVENUE BRONX,,351.0,383.0,0.9164490861618799,11.24,0.007832898172323759,0.06527415143603134,0.29765013054830286,0.6005221932114883,0.02349869451697128,0.0026109660574412533,0.0026109660574412533
2023-2025,NYC DOE,PRE-K CENTER @3610 GLENWOOD ROAD - BROOKLYN,Kings,Public School,K042,https://www.schools.nyc.gov/schools/K853,35.0,35.0,0.0,0.0,Yes,35,0,Yes,Yes,Complete,3610 GLENWOOD ROAD,Brooklyn,NY,11210,01/26/2024,"(40.63436, -73.941795)","(40.63436, -73.941795)",CENTER @3610 GLENWOOD ROAD BROOKLYN,,170.0,188.0,0.9042553191489362,7.52,0.005319148936170213,0.02127659574468085,0.5638297872340425,0.3829787234042553,0.010638297872340425,0.005319148936170213,0.010638297872340425
