Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,Teacher’s College Community School Annex – Manhatt,Manhattan,Public School,M484,https://www.schools.nyc.gov/schools/M517,23.0,0.0,23.0,0.0,Yes,23,0,Yes,,,223-233 WEST 132 STREET,MANHATTAN,NY,10027,06/28/2024,"(40.81402, -73.946027)","(40.81402, -73.946027)",Teacher’s College Community School Annex – Manhatt,,,,,,,,,,,,
2023-2025,NYC DOE,TEACHERS COLLEGE COMMUNITY SCHOOL - MANHATTAN,Manhattan,Public School,M916,https://www.schools.nyc.gov/schools/M517,20.0,0.0,20.0,0.0,Yes,20,0,Yes,Yes,Complete,168 MORNINGSIDE AVENUE,MANHATTAN,NY,10027,12/27/2024,"(40.812428, -73.953317)","(40.812428, -73.953317)",TEACHERS COLLEGE COMMUNITY SCHOOL MANHATTAN,,249.0,322.0,0.7732919254658385,11.93,0.012422360248447204,0.012422360248447204,0.4440993788819876,0.38819875776397517,0.08074534161490683,0.012422360248447204,0.049689440993788817
2023-2025,NYC DOE,TEACHERS PREP HS(OL REDIRECTION)-K,Kings,Public School,K175,https://www.schools.nyc.gov/schools/K697,46.0,0.0,0.0,46.0,Yes,43,3,Yes,Yes,Ongoing,226 BRISTOL STREET,Brooklyn,NY,11212,04/04/2025,"(40.665568, -73.912102)","(40.665568, -73.912102)",TEACHERS PREP HSK,,188.0,198.0,0.9494949494949495,8.79,0.005050505050505051,0.0,0.5656565656565656,0.3282828282828283,0.03535353535353535,0.010101010101010102,0.05555555555555555
2023-2025,NYC DOE,TELECOM. ARTS & TECH. - K,Kings,Public School,K485,https://www.schools.nyc.gov/schools/K371,55.0,0.0,0.0,55.0,Yes,54,1,Yes,Yes,Ongoing,350 67 STREET,Brooklyn,NY,11220,04/04/2025,"(40.636721, -74.023419)","(40.636721, -74.023419)",TELECOM ARTS & TECH K,,1015.0,1266.0,0.80173775671406,11.71,0.004739336492890996,0.24960505529225907,0.03317535545023697,0.5213270142180095,0.16824644549763032,0.00315955766192733,0.019747235387045814
2023-2025,NYC DOE,TERENCE D. TOLBERT EDUCATION COMPLEX - MANHATTAN,Manhattan,Public School,M195,https://www.schools.nyc.gov/schools/M514,87.0,0.0,87.0,0.0,Yes,87,0,Yes,Yes,Complete,625 WEST 133 STREET,MANHATTAN,NY,10027,01/10/2025,"(40.819793, -73.956814)","(40.819793, -73.956814)",TERENCE D TOLBERT EDUCATION COMPLEX MANHATTAN,,,,,,,,,,,,
2023-2025,NYC DOE,The Arthur A. Schomburg Educational Campus,Bronx,Public School,X496,https://www.schools.nyc.gov/schools/X643,70.0,0.0,0.0,70.0,Yes,69,1,Yes,Yes,Ongoing,2075 Webster Avenue,Bronx,NY,10457,04/18/2025,"(40.85175, -73.89897)","(40.85175, -73.89897)",The Arthur A Schomburg Educational Campus,,336.0,351.0,0.9572649572649573,9.08,0.008547008547008548,0.002849002849002849,0.19943019943019943,0.7863247863247863,0.0,0.0,0.002849002849002849
2023-2025,NYC DOE,The Aurelia Greene Educational Campus,Bronx,Public School,X468,https://www.schools.nyc.gov/schools/X644,67.0,0.0,0.0,67.0,Yes,63,4,Yes,Yes,Ongoing,1302 Edward L Grant Highway,Bronx,NY,10452,04/18/2025,"(40.83862, -73.921328)","(40.83862, -73.921328)",The Aurelia Greene Educational Campus,,336.0,351.0,0.9572649572649573,9.08,0.008547008547008548,0.002849002849002849,0.19943019943019943,0.7863247863247863,0.0,0.0,0.002849002849002849
2023-2025,NYC DOE,'The Casita Maria Center for Arts and Education,Bronx,Public School,X392,https://www.schools.nyc.gov/schools/X269,55.0,0.0,55.0,0.0,Yes,55,0,Yes,,,928 SIMPSON STREET,BRONX,NY,10459,05/31/2024,"(40.820388, -73.892961)","(40.820388, -73.892961)",'The Casita Maria Center for Arts and Education,,,,,,,,,,,,
2023-2025,NYC DOE,The Chris Galas School,Queens,Public School,Q343,https://www.schools.nyc.gov/schools/Q047,45.0,0.0,0.0,45.0,Yes,45,0,Yes,Yes,,9 Power Road,Queens,NY,11693,04/04/2025,"(40.606352, -73.820445)","(40.606352, -73.820445)",The Chris Galas School,,142.0,513.0,0.27680311890838205,19.21,0.007797270955165692,0.5282651072124757,0.02729044834307992,0.12085769980506822,0.23391812865497075,0.007797270955165692,0.07212475633528265
2023-2025,NYC DOE,THE CLINTON SCHOOL - MANHATTAN,Manhattan,Public School,M868,https://www.schools.nyc.gov/schools/M094,97.0,0.0,0.0,97.0,Yes,94,3,Yes,Yes,Ongoing,10 East 15th Street,Manhattan,NY,10003,02/21/2025,"(40.736526, -73.992727)","(40.736526, -73.992727)",THE CLINTON SCHOOL MANHATTAN,,179.0,839.0,0.2133492252681764,13.57,0.004767580452920143,0.13706793802145412,0.03456495828367104,0.13825983313468415,0.5470798569725864,0.0,0.13825983313468415
2023-2025,NYC DOE,The College Point Collaborative Educational Buildi,Queens,Public School,Q336,https://www.schools.nyc.gov/schools/Q379,26.0,0.0,26.0,0.0,Yes,26,0,Yes,,,12406 14TH AVENUE,QUEENS,NY,11356,06/28/2024,"(40.785129, -73.843504)","(40.785129, -73.843504)",The College Point Collaborative Educational Buildi,,292.0,551.0,0.52994555353902,16.84,0.009074410163339383,0.49364791288566245,0.14519056261343014,0.2014519056261343,0.08711433756805807,0.0054446460980036296,0.05807622504537205
2023-2025,NYC DOE,THE COMMUNITY HEALTH ACADEMY OF THE HEIGHTS - M,Manhattan,Public School,M814,https://www.schools.nyc.gov/schools/M346,43.0,0.0,0.0,43.0,Yes,43,0,Yes,Yes,,504 West 158 Street,Manhattan,NY,10032,04/04/2025,"(40.833695, -73.942074)","(40.833695, -73.942074)",THE COMMUNITY HEALTH ACADEMY OF THE HEIGHTS M,,533.0,574.0,0.9285714285714286,10.1,0.006968641114982578,0.0156794425087108,0.10975609756097561,0.8397212543554007,0.02264808362369338,0.0,0.005226480836236934
2023-2025,NYC DOE,The Detective WenJian Liu School of Civics and Ent,Kings,Public School,K676,https://www.schools.nyc.gov/schools/K331,74.0,0.0,0.0,74.0,Yes,74,0,Yes,Yes,,6312 13 Avenue,Brooklyn,NY,11219,04/04/2025,"(40.627038, -74.00089)","(40.627038, -74.00089)",The Detective WenJian Liu School of Civics and Ent,,350.0,438.0,0.7990867579908676,14.51,0.0045662100456621,0.08904109589041095,0.7054794520547946,0.10273972602739725,0.06164383561643835,0.0091324200913242,0.0273972602739726
2023-2025,NYC DOE,THE DOMINIC CASTORE EDUCATIONAL CAMPUS - BRONX,Bronx,Public School,X292,https://www.schools.nyc.gov/schools/X357,73.0,0.0,73.0,0.0,Yes,73,0,Yes,,,800 LYDIG AVENUE,BRONX,NY,10462,06/28/2024,"(40.854423, -73.863733)","(40.854423, -73.863733)",THE DOMINIC CASTORE EDUCATIONAL CAMPUS BRONX,,336.0,351.0,0.9572649572649573,9.08,0.008547008547008548,0.002849002849002849,0.19943019943019943,0.7863247863247863,0.0,0.0,0.002849002849002849
2023-2025,NYC DOE,THE GERALDINE FERRARO CAMPUS - QUEENS,Queens,Public School,Q290,https://www.schools.nyc.gov/schools/Q277,135.0,0.0,135.0,0.0,Yes,133,2,Yes,Yes,Ongoing,55-20 METROPOLITAN AVENUE,QUEENS,NY,11385,09/20/2024,"(40.71303, -73.908307)","(40.71303, -73.908307)",THE GERALDINE FERRARO CAMPUS QUEENS,,365.0,556.0,0.6564748201438849,15.89,0.007194244604316547,0.08633093525179857,0.00539568345323741,0.5377697841726619,0.32014388489208634,0.0,0.04316546762589928
2023-2025,NYC DOE,THE HARBOR VIEW SCHOOL - STATEN ISLAND,Richmond,Public School,R059,https://www.schools.nyc.gov/schools/R059,49.0,49.0,0.0,0.0,Yes,49,0,Yes,Yes,Complete,300 Richmond Terrace,Staten Island,NY,10301,05/31/2024,"(40.647898, -74.083408)","(40.647898, -74.083408)",THE HARBOR VIEW SCHOOL STATEN ISLAND,,194.0,267.0,0.7265917602996255,8.77,0.0,0.03745318352059925,0.3895131086142322,0.41198501872659177,0.11610486891385768,0.0,0.0449438202247191
