Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,P.S. 241 - BROOKLYN,Kings,Public School,K241,https://www.schools.nyc.gov/schools/K241,39.0,0.0,39.0,0.0,Yes,39,0,Yes,Yes,Complete,976 PRESIDENT STREET,BROOKLYN,NY,11225,12/27/2024,"(40.668913, -73.960924)","(40.668913, -73.960924)",PS 241 BROOKLYN,,274.0,369.0,0.7425474254742548,17.99,0.0,0.008130081300813009,0.7154471544715447,0.10569105691056911,0.11653116531165311,0.0,0.05420054200542006
2023-2025,NYC DOE,P.S. 241 - MANHATTAN,Manhattan,Public School,M113,https://www.schools.nyc.gov/schools/M241,71.0,71.0,0.0,0.0,Yes,71,0,Yes,Yes,Complete,240 WEST 113 STREET,Manhattan,NY,10026,05/31/2024,"(40.801573, -73.955583)","(40.801573, -73.955583)",PS 241 MANHATTAN,,61.0,362.0,0.1685082872928177,15.08,0.0,0.17679558011049723,0.03314917127071823,0.1464088397790055,0.580110497237569,0.0,0.06353591160220995
2023-2025,NYC DOE,P.S. 241 MINISCHOOL - BROOKLYN,Kings,Public School,K840,https://www.schools.nyc.gov/schools/K241,7.0,0.0,7.0,0.0,Yes,7,0,Yes,,,976 PRESIDENT STREET,BROOKLYN,NY,11225,05/03/2024,"(40.668913, -73.960924)","(40.668913, -73.960924)",PS 241 MINISCHOOL BROOKLYN,,274.0,369.0,0.7425474254742548,17.99,0.0,0.008130081300813009,0.7154471544715447,0.10569105691056911,0.11653116531165311,0.0,0.05420054200542006
2023-2025,NYC DOE,P.S. 242 - (ECC) - QUEENS,Queens,Public School,Q242,https://www.schools.nyc.gov/schools/Q242,66.0,66.0,0.0,0.0,Yes,66,0,Yes,Yes,Complete,29-66 137 STREET,Queens,NY,11354,08/17/2023,"(40.769752, -73.832005)","(40.769752, -73.832005)",PS 242 QUEENS,,199.0,287.0,0.6933797909407665,12.62,0.017421602787456445,0.7526132404181185,0.0313588850174216,0.1602787456445993,0.024390243902439025,0.0,0.013937282229965157
2023-2025,NYC DOE,P.S. 242 (OLD P144) - MANHATTAN,Manhattan,Public School,M144,https://www.schools.nyc.gov/schools/M242,82.0,0.0,82.0,0.0,Yes,71,11,Yes,Yes,Ongoing,134 WEST 122 STREET,MANHATTAN,NY,10027,04/05/2024,"(40.806055, -73.948385)","(40.806055, -73.948385)",PS 242 MANHATTAN,,147.0,156.0,0.9423076923076923,9.19,0.0,0.00641025641025641,0.33974358974358976,0.6089743589743589,0.019230769230769232,0.0,0.02564102564102564
2023-2025,NYC DOE,P.S. 243 - BROOKLYN,Kings,Public School,K243,https://www.schools.nyc.gov/schools/K360,107.0,0.0,107.0,0.0,Yes,107,0,Yes,Yes,Complete,1580 DEAN STREET,BROOKLYN,NY,11213,04/18/2025,"(40.675675, -73.935093)","(40.675675, -73.935093)",PS 243 BROOKLYN,,159.0,165.0,0.9636363636363636,8.68,0.006060606060606061,0.024242424242424242,0.7151515151515152,0.23636363636363636,0.006060606060606061,0.006060606060606061,0.006060606060606061
2023-2025,NYC DOE,P.S. 244 - BROOKLYN,Kings,Public School,K244,https://www.schools.nyc.gov/schools/K244,170.0,170.0,0.0,0.0,Yes,170,0,Yes,Yes,Complete,5404 TILDEN AVENUE,Brooklyn,NY,11203,05/17/2024,"(40.647851, -73.925592)","(40.647851, -73.925592)",PS 244 BROOKLYN,,275.0,320.0,0.859375,8.21,0.0,0.040625,0.76875,0.13125,0.040625,0.0,0.01875
2023-2025,NYC DOE,P.S. 244 ECC (@ FRANKLIN AVE) - Q,Queens,Public School,Q244,https://www.schools.nyc.gov/schools/Q244,93.0,93.0,0.0,0.0,Yes,93,0,Yes,Yes,Complete,137-20 FRANKLIN AVENUE,Queens,NY,11355,03/08/2024,"(40.754483, -73.826192)","(40.754483, -73.826192)",PS 244 ECC Q,,546.0,686.0,0.7959183673469388,14.32,0.38629737609329445,0.2696793002915452,0.0597667638483965,0.21428571428571427,0.02478134110787172,0.02040816326530612,0.02478134110787172
2023-2025,NYC DOE,P.S. 245 - BROOKLYN,Kings,Public School,K735,https://www.schools.nyc.gov/schools/K245,46.0,46.0,0.0,0.0,Yes,46,0,Yes,Yes,Complete,249 EAST 17TH STREET,Brooklyn,NY,11226,03/22/2024,"(40.644927, -73.962743)","(40.644927, -73.962743)",PS 245 BROOKLYN,,202.0,224.0,0.9017857142857143,10.07,0.04017857142857143,0.013392857142857142,0.46875,0.45089285714285715,0.022321428571428572,0.004464285714285714,0.0
2023-2025,NYC DOE,P.S. 245 ECC - QUEENS,Queens,Public School,Q245,https://www.schools.nyc.gov/schools/Q305,79.0,79.0,0.0,0.0,Yes,79,0,Yes,Yes,Complete,378 Seneca Avenue,Queens,NY,11385,08/17/2023,"(40.706837, -73.91499)","(40.706837, -73.91499)",PS 245 ECC QUEENS,,546.0,686.0,0.7959183673469388,14.32,0.38629737609329445,0.2696793002915452,0.0597667638483965,0.21428571428571427,0.02478134110787172,0.02040816326530612,0.02478134110787172
2023-2025,NYC DOE,P.S. 246 (POE CENTER) - BRONX,Bronx,Public School,X843,https://www.schools.nyc.gov/schools/X246,37.0,37.0,0.0,0.0,Yes,37,0,Yes,,,2641 Grand Concourse,Bronx,NY,10468,12/01/2023,"(40.865972, -73.8953)","(40.865972, -73.8953)",PS 246 BRONX,,468.0,489.0,0.9570552147239264,11.07,0.0,0.010224948875255624,0.08997955010224949,0.8568507157464212,0.0408997955010225,0.0,0.002044989775051125
2023-2025,NYC DOE,P.S. 246 (POE CENTER) GYM ANNEX - BRONX,Bronx,Public School,X472,https://www.schools.nyc.gov/schools/X246,6.0,0.0,0.0,6.0,Yes,6,0,Yes,Yes,,2641 Grand Concourse,Bronx,NY,10468,05/02/2025,"(0, 0)","(0, 0)",PS 246GYM ANNEX BRONX,,468.0,489.0,0.9570552147239264,11.07,0.0,0.010224948875255624,0.08997955010224949,0.8568507157464212,0.0408997955010225,0.0,0.002044989775051125
2023-2025,NYC DOE,P.S. 247 - BROOKLYN,Kings,Public School,K247,https://www.schools.nyc.gov/schools/K247,47.0,0.0,47.0,0.0,Yes,47,0,Yes,Yes,Complete,7000 21 AVENUE,BROOKLYN,NY,11204,04/04/2025,"(40.612247, -73.987195)","(40.612247, -73.987195)",PS 247 BROOKLYN,,579.0,744.0,0.7782258064516129,10.8,0.004032258064516129,0.5806451612903226,0.006720430107526882,0.14381720430107528,0.25268817204301075,0.0013440860215053765,0.010752688172043012
2023-2025,NYC DOE,P.S. 249 - BROOKLYN,Kings,Public School,K249,https://www.schools.nyc.gov/schools/K249,117.0,0.0,117.0,0.0,Yes,117,0,Yes,Yes,Complete,18 MARLBOROUGH ROAD,BROOKLYN,NY,11226,02/07/2025,"(40.649509, -73.966456)","(40.649509, -73.966456)",PS 249 BROOKLYN,,596.0,699.0,0.8526466380543634,13.19,0.012875536480686695,0.06580829756795423,0.38912732474964234,0.45493562231759654,0.06294706723891273,0.002861230329041488,0.011444921316165951
2023-2025,NYC DOE,P.S. 25 - BRONX,Bronx,Public School,X025,https://www.schools.nyc.gov/schools/X025,34.0,34.0,0.0,0.0,Yes,34,0,Yes,Yes,Complete,811 EAST 149 STREET,Bronx,NY,10455,02/09/2024,"(40.812895, -73.905751)","(40.812895, -73.905751)",PS 25 BRONX,,410.0,421.0,0.9738717339667459,10.7,0.011876484560570071,0.009501187648456057,0.0997624703087886,0.8669833729216152,0.011876484560570071,0.0,0.0
2023-2025,NYC DOE,P.S. 25 - BROOKLYN,Kings,Public School,K025,https://www.schools.nyc.gov/schools/K025,54.0,0.0,54.0,0.0,Yes,54,0,Yes,Yes,Complete,787 LAFAYETTE AVENUE,BROOKLYN,NY,11221,07/11/2025,"(40.691472, -73.940749)","(40.691472, -73.940749)",PS 25 BROOKLYN,,51.0,54.0,0.9444444444444444,6.0,0.0,0.018518518518518517,0.37037037037037035,0.5,0.07407407407407407,0.018518518518518517,0.018518518518518517
2023-2025,NYC DOE,P.S. 25 (MOUNT LORETTO) - S.I.,Richmond,Public School,R825,https://www.schools.nyc.gov/schools/R025,34.0,34.0,0.0,0.0,Yes,34,0,Yes,Yes,Complete,6581 HYLAN BOULEVARD,Staten Island,NY,10309,03/08/2024,"(40.512019, -74.218688)","(40.512019, -74.218688)",PS 25 SI,,508.0,570.0,0.8912280701754386,5.38,0.0035087719298245615,0.03684210526315789,0.3385964912280702,0.3385964912280702,0.25087719298245614,0.0035087719298245615,0.028070175438596492
