name,BEDS code,district code,district,county code,county,NCES code
PIETER B COEYMANS SCHOOL,10402060003,10402,RAVENA-COEYMANS-SELKIRK CSD,1,ALBANY,
RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,10402060008,10402,RAVENA-COEYMANS-SELKIRK CSD,1,ALBANY,
ABRAM LANSING SCHOOL,10500010005,10500,COHOES CITY SD,1,ALBANY,
COHOES CITY SCHOOL DISTRICT,10500010000,10500,COHOES CITY SD,1,ALBANY,3607980
COHOES HIGH SCHOOL,10500010007,10500,COHOES CITY SD,1,ALBANY,
VAN SCHAICK ISLAND SCHOOL,10500010006,10500,COHOES CITY SD,1,ALBANY,
HARMONY HILL SCHOOL,10500010009,10500,COHOES CITY SD,1,ALBANY,
COHOES MIDDLE SCHOOL,10500010008,10500,COHOES CITY SD,1,ALBANY,
COLONIE CENTRAL HIGH SCHOOL,10601060008,10601,SOUTH COLONIE CSD,1,ALBANY,
LISHA KILL MIDDLE SCHOOL,10601060013,10601,SOUTH COLONIE CSD,1,ALBANY,
SOUTH COLONIE CENTRAL SCHOOL DISTRICT,10601060000,10601,SOUTH COLONIE CSD,1,ALBANY,3627210
SHAKER ROAD ELEMENTARY SCHOOL,10601060006,10601,SOUTH COLONIE CSD,1,ALBANY,
FOREST PARK ELEMENTARY SCHOOL,10601060010,10601,SOUTH COLONIE CSD,1,ALBANY,
ROESSLEVILLE SCHOOL,10601060003,10601,SOUTH COLONIE CSD,1,ALBANY,
VEEDER ELEMENTARY SCHOOL,10601060011,10601,SOUTH COLONIE CSD,1,ALBANY,
SAND CREEK MIDDLE SCHOOL,10601060012,10601,SOUTH COLONIE CSD,1,ALBANY,
SADDLEWOOD ELEMENTARY SCHOOL,10601060005,10601,SOUTH COLONIE CSD,1,ALBANY,
MENANDS SCHOOL,10615020001,10615,MENANDS UFSD,1,ALBANY,
MENANDS UNION FREE SCHOOL DISTRICT,10615020000,10615,MENANDS UFSD,1,ALBANY,3618990
MAPLEWOOD COMMON SCHOOL DISTRICT,10622080000,10622,MAPLEWOOD COMN SD,1,ALBANY,3618420
FORTS FERRY SCHOOL,10623060004,10623,NORTH COLONIE CSD,1,ALBANY,
LATHAM RIDGE SCHOOL,10623060006,10623,NORTH COLONIE CSD,1,ALBANY,
LOUDONVILLE SCHOOL,10623060007,10623,NORTH COLONIE CSD,1,ALBANY,
SHAKER MIDDLE SCHOOL,10623060009,10623,NORTH COLONIE CSD,1,ALBANY,
BLUE CREEK SCHOOL,10623060002,10623,NORTH COLONIE CSD,1,ALBANY,
BOGHT HILLS SCHOOL,10623060003,10623,NORTH COLONIE CSD,1,ALBANY,
NORTH COLONIE CSD,10623060000,10623,NORTH COLONIE CSD,1,ALBANY,3621000
SHAKER HIGH SCHOOL,10623060010,10623,NORTH COLONIE CSD,1,ALBANY,
SOUTHGATE SCHOOL,10623060008,10623,NORTH COLONIE CSD,1,ALBANY,
HEATLY SCHOOL,10701030001,10701,GREEN ISLAND UFSD,1,ALBANY,
GREEN ISLAND UNION FREE SCHOOL DISTRICT,10701030000,10701,GREEN ISLAND UFSD,1,ALBANY,3612660
GUILDERLAND CENTRAL SCHOOL DISTRICT,10802060000,10802,GUILDERLAND CSD,1,ALBANY,3613080
WESTMERE ELEMENTARY SCHOOL,10802060004,10802,GUILDERLAND CSD,1,ALBANY,
PINE BUSH ELEMENTARY SCHOOL,10802060009,10802,GUILDERLAND CSD,1,ALBANY,
TECH VALLEY HIGH SCHOOL,499000000801,10802,GUILDERLAND CSD,1,ALBANY,
LYNNWOOD ELEMENTARY SCHOOL,10802060007,10802,GUILDERLAND CSD,1,ALBANY,
ALTAMONT ELEMENTARY SCHOOL,10802060001,10802,GUILDERLAND CSD,1,ALBANY,
GUILDERLAND ELEMENTARY SCHOOL,10802060003,10802,GUILDERLAND CSD,1,ALBANY,
FARNSWORTH MIDDLE SCHOOL,10802060008,10802,GUILDERLAND CSD,1,ALBANY,
GUILDERLAND HIGH SCHOOL,10802060005,10802,GUILDERLAND CSD,1,ALBANY,
VOORHEESVILLE MIDDLE SCHOOL,11003060003,11003,VOORHEESVILLE CSD,1,ALBANY,
VOORHEESVILLE ELEMENTARY SCHOOL,11003060001,11003,VOORHEESVILLE CSD,1,ALBANY,
CLAYTON A BOUTON HIGH SCHOOL,11003060002,11003,VOORHEESVILLE CSD,1,ALBANY,
VOORHEESVILLE CENTRAL SCHOOL DISTRICT,11003060000,11003,VOORHEESVILLE CSD,1,ALBANY,3629670
WATERVLIET ELEMENTARY SCHOOL,11200010002,11200,WATERVLIET CITY SD,1,ALBANY,
WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,11200010010,11200,WATERVLIET CITY SD,1,ALBANY,
WATERVLIET CITY SCHOOL DISTRICT,11200010000,11200,WATERVLIET CITY SD,1,ALBANY,3630210
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,19000000000,19000,BOCES ALBANY-SCHOH-SCHENECTADY-SARAT,1,ALBANY,3680100
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,20101040002,20101,ALFRED-ALMOND CSD,2,ALLEGANY,
ALFRED-ALMOND ELEMENTARY SCHOOL,20101040001,20101,ALFRED-ALMOND CSD,2,ALLEGANY,
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,20101040000,20101,ALFRED-ALMOND CSD,2,ALLEGANY,3602700
ANDOVER CENTRAL SCHOOL DISTRICT,20601040000,20601,ANDOVER CSD,2,ALLEGANY,3603030
ANDOVER MIDDLE SCHOOL,20601040003,20601,ANDOVER CSD,2,ALLEGANY,
ANDOVER SCHOOL,20601040001,20601,ANDOVER CSD,2,ALLEGANY,
ANDOVER HIGH SCHOOL,20601040002,20601,ANDOVER CSD,2,ALLEGANY,
GENESEE VALLEY MIDDLE SCHOOL,20702040002,20702,GENESEE VALLEY CSD,2,ALLEGANY,
GENESEE VALLEY HIGH SCHOOL,20702040003,20702,GENESEE VALLEY CSD,2,ALLEGANY,
ALLEGANY CO SHERIFF C/O TREASURER,20702950001,20702,GENESEE VALLEY CSD,2,ALLEGANY,
GENESEE VALLEY CENTRAL SCHOOL,20702040001,20702,GENESEE VALLEY CSD,2,ALLEGANY,
GENESEE VALLEY CENTRAL SCHOOL DISTRICT,20702040000,20702,GENESEE VALLEY CSD,2,ALLEGANY,3600017
BELFAST SCHOOL,20801040001,20801,BELFAST CSD,2,ALLEGANY,
BELFAST CENTRAL SCHOOL DISTRICT,20801040000,20801,BELFAST CSD,2,ALLEGANY,3604350
CANASERAGA CENTRAL SCHOOL DISTRICT,21102040000,21102,CANASERAGA CSD,2,ALLEGANY,3606360
CANASERAGA SCHOOL,21102040001,21102,CANASERAGA CSD,2,ALLEGANY,
FRIENDSHIP CENTRAL SCHOOL,21601040004,21601,FRIENDSHIP CSD,2,ALLEGANY,
FRIENDSHIP CENTRAL SCHOOL DISTRICT,21601040000,21601,FRIENDSHIP CSD,2,ALLEGANY,3611640
FILLMORE CENTRAL SCHOOL DISTRICT,22001040000,22001,FILLMORE CSD,2,ALLEGANY,3611070
FILLMORE CENTRAL SCHOOL,22001040001,22001,FILLMORE CSD,2,ALLEGANY,
WHITESVILLE CENTRAL SCHOOL,22101040001,22101,WHITESVILLE CSD,2,ALLEGANY,
WHITESVILLE CENTRAL SCHOOL DISTRICT,22101040000,22101,WHITESVILLE CSD,2,ALLEGANY,3631350
CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,22302040000,22302,CUBA-RUSHFORD CSD,2,ALLEGANY,3632010
CUBA-RUSHFORD HIGH SCHOOL,22302040001,22302,CUBA-RUSHFORD CSD,2,ALLEGANY,
CUBA-RUSHFORD MIDDLE SCHOOL,22302040004,22302,CUBA-RUSHFORD CSD,2,ALLEGANY,
CUBA-RUSHFORD ELEMENTARY SCHOOL,22302040002,22302,CUBA-RUSHFORD CSD,2,ALLEGANY,
RUSHFORD ELEMENTARY SCHOOL,22302040003,22302,CUBA-RUSHFORD CSD,2,ALLEGANY,
SCIO CENTRAL SCHOOL,22401040003,22401,SCIO CSD,2,ALLEGANY,
SCIO CENTRAL SCHOOL DISTRICT,22401040000,22401,SCIO CSD,2,ALLEGANY,3626190
WELLSVILLE ELEMENTARY SCHOOL,22601060005,22601,WELLSVILLE CSD,2,ALLEGANY,
WELLSVILLE CENTRAL SCHOOL DISTRICT,22601060000,22601,WELLSVILLE CSD,2,ALLEGANY,3630480
WELLSVILLE MIDDLE SCHOOL,22601060002,22601,WELLSVILLE CSD,2,ALLEGANY,
WELLSVILLE SECONDARY SCHOOL,22601060004,22601,WELLSVILLE CSD,2,ALLEGANY,
BOLIVAR-RICHBURG ELEMENTARY SCHOOL,22902040002,22902,BOLIVAR-RICHBURG CSD,2,ALLEGANY,
BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,22902040000,22902,BOLIVAR-RICHBURG CSD,2,ALLEGANY,3600012
BOLIVAR-RICHBURG PRE-K PROGRAM,22902040003,22902,BOLIVAR-RICHBURG CSD,2,ALLEGANY,
BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,22902040001,22902,BOLIVAR-RICHBURG CSD,2,ALLEGANY,
CHENANGO FORKS HIGH SCHOOL,30101060003,30101,CHENANGO FORKS CSD,3,BROOME,
CHENANGO FORKS MIDDLE SCHOOL,30101060004,30101,CHENANGO FORKS CSD,3,BROOME,
JOHN R HARSHAW PRIMARY SCHOOL,30101060002,30101,CHENANGO FORKS CSD,3,BROOME,
CHENANGO FORKS CENTRAL SCHOOL DISTRICT,30101060000,30101,CHENANGO FORKS CSD,3,BROOME,3607260
CHENANGO FORKS ELEMENTARY SCHOOL,30101060001,30101,CHENANGO FORKS CSD,3,BROOME,
CALVIN COOLIDGE SCHOOL,30200010002,30200,BINGHAMTON CITY SD,3,BROOME,
BINGHAMTON CITY SCHOOL DISTRICT,30200010000,30200,BINGHAMTON CITY SD,3,BROOME,3604870
THEODORE ROOSEVELT SCHOOL,30200010012,30200,BINGHAMTON CITY SD,3,BROOME,
BINGHAMTON HIGH SCHOOL,30200010021,30200,BINGHAMTON CITY SD,3,BROOME,
GREATER BINGHAMTON HEALTH CENTER,30200928161,30200,BINGHAMTON CITY SD,3,BROOME,
MACARTHUR SCHOOL,30200010011,30200,BINGHAMTON CITY SD,3,BROOME,
EAST MIDDLE SCHOOL,30200010015,30200,BINGHAMTON CITY SD,3,BROOME,
HORACE MANN SCHOOL,30200010022,30200,BINGHAMTON CITY SD,3,BROOME,
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,30200010005,30200,BINGHAMTON CITY SD,3,BROOME,
WOODROW WILSON SCHOOL,30200010014,30200,BINGHAMTON CITY SD,3,BROOME,
THOMAS JEFFERSON SCHOOL,30200010008,30200,BINGHAMTON CITY SD,3,BROOME,
WEST MIDDLE SCHOOL,30200010016,30200,BINGHAMTON CITY SD,3,BROOME,
HARPURSVILLE CENTRAL SCHOOL DISTRICT,30501040000,30501,HARPURSVILLE CSD,3,BROOME,3613710
W A OLMSTED ELEMENTARY SCHOOL,30501040001,30501,HARPURSVILLE CSD,3,BROOME,
HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,30501040003,30501,HARPURSVILLE CSD,3,BROOME,
RICHARD T STANK MIDDLE SCHOOL,30601060005,30601,SUSQUEHANNA VALLEY CSD,3,BROOME,
SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL,30601060006,30601,SUSQUEHANNA VALLEY CSD,3,BROOME,
SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,30601060000,30601,SUSQUEHANNA VALLEY CSD,3,BROOME,3628380
BROOKSIDE ELEMENTARY SCHOOL,30601060001,30601,SUSQUEHANNA VALLEY CSD,3,BROOME,
F P DONNELLY SCHOOL,30601060004,30601,SUSQUEHANNA VALLEY CSD,3,BROOME,
CHENANGO VALLEY MIDDLE SCHOOL,30701060005,30701,CHENANGO VALLEY CSD,3,BROOME,
CHENANGO BRIDGE ELEMENTARY SCHOOL,30701060003,30701,CHENANGO VALLEY CSD,3,BROOME,
CHENANGO VALLEY HIGH SCHOOL,30701060001,30701,CHENANGO VALLEY CSD,3,BROOME,
CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,30701060000,30701,CHENANGO VALLEY CSD,3,BROOME,3607290
PORT DICKINSON ELEMENTARY SCHOOL,30701060004,30701,CHENANGO VALLEY CSD,3,BROOME,
MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,31101060000,31101,MAINE-ENDWELL CSD,3,BROOME,3618150
MAINE MEMORIAL SCHOOL,31101060004,31101,MAINE-ENDWELL CSD,3,BROOME,
MAINE-ENDWELL MIDDLE SCHOOL,31101060005,31101,MAINE-ENDWELL CSD,3,BROOME,
HOMER BRINK SCHOOL,31101060003,31101,MAINE-ENDWELL CSD,3,BROOME,
MAINE-ENDWELL SENIOR HIGH SCHOOL,31101060006,31101,MAINE-ENDWELL CSD,3,BROOME,
DEPOSIT ELEMENTARY SCHOOL,31301040002,31301,DEPOSIT CSD,12,DELAWARE,
DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,31301040003,31301,DEPOSIT CSD,12,DELAWARE,
DEPOSIT CENTRAL SCHOOL DISTRICT,31301040000,31301,DEPOSIT CSD,12,DELAWARE,3609060
WHITNEY POINT INTERMEDIATE SCHOOL,31401060001,31401,WHITNEY POINT CSD,3,BROOME,
WHITNEY POINT CENTRAL SCHOOL DISTRICT,31401060000,31401,WHITNEY POINT CSD,3,BROOME,3631380
WHITNEY POINT SENIOR HIGH SCHOOL,31401060004,31401,WHITNEY POINT CSD,3,BROOME,
CARYL E ADAMS PRIMARY SCHOOL,31401060005,31401,WHITNEY POINT CSD,3,BROOME,
TIOUGHNIOGA RIVERSIDE ACADEMY,31401060002,31401,WHITNEY POINT CSD,3,BROOME,
JENNIE F SNAPP MIDDLE SCHOOL,31501060009,31501,UNION-ENDICOTT CSD,3,BROOME,
GEORGE F JOHNSON ELEMENTARY SCHOOL,31501060002,31501,UNION-ENDICOTT CSD,3,BROOME,
ANN G MCGUINNESS ELEMENTAR SCHOOL,31501060014,31501,UNION-ENDICOTT CSD,3,BROOME,
LINNAEUS W WEST SCHOOL,31501060007,31501,UNION-ENDICOTT CSD,3,BROOME,
LINNAEUS W WEST PRIMARY SCHOOL,31501060011,31501,UNION-ENDICOTT CSD,3,BROOME,
UNION-ENDICOTT HIGH SCHOOL,31501060012,31501,UNION-ENDICOTT CSD,3,BROOME,
THOMAS J WATSON SR ELEMENTARY SCHOOL,31501060013,31501,UNION-ENDICOTT CSD,60,TIOGA,
CHARLES F JOHNSON JR ELEMENTARY SCHOOL,31501060001,31501,UNION-ENDICOTT CSD,3,BROOME,
UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,31501060000,31501,UNION-ENDICOTT CSD,3,BROOME,3610710
BROOME DEVELOPMENTAL CENTER,31502928194,31502,JOHNSON CITY CSD,3,BROOME,
JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL,31502060001,31502,JOHNSON CITY CSD,3,BROOME,
JOHNSON CITY CENTRAL SCHOOL DISTRICT,31502060000,31502,JOHNSON CITY CSD,3,BROOME,3615900
JOHNSON CITY MIDDLE SCHOOL,31502060005,31502,JOHNSON CITY CSD,3,BROOME,
JOHNSON CITY SENIOR HIGH SCHOOL,31502060006,31502,JOHNSON CITY CSD,3,BROOME,
JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL,31502060003,31502,JOHNSON CITY CSD,3,BROOME,
VESTAL HILLS ELEMENTARY SCHOOL,31601060028,31601,VESTAL CSD,3,BROOME,
TIOGA HILLS ELEMENTARY SCHOOL,31601060026,31601,VESTAL CSD,60,TIOGA,
VESTAL SENIOR HIGH SCHOOL,31601060051,31601,VESTAL CSD,3,BROOME,
GLENWOOD ELEMENTARY SCHOOL,31601060023,31601,VESTAL CSD,3,BROOME,
CLAYTON AVENUE ELEMENTARY SCHOOL,31601060022,31601,VESTAL CSD,3,BROOME,
VESTAL MIDDLE SCHOOL,31601060041,31601,VESTAL CSD,3,BROOME,
VESTAL CENTRAL SCHOOL DISTRICT,31601060000,31601,VESTAL CSD,3,BROOME,3629610
AFRICAN ROAD ELEMENTARY SCHOOL,31601060021,31601,VESTAL CSD,3,BROOME,
A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,31701060004,31701,WINDSOR CSD,3,BROOME,
WINDSOR CENTRAL SCHOOL DISTRICT,31701060000,31701,WINDSOR CSD,3,BROOME,3602730
FLOYD BELL ELEMENTARY SCHOOL,31701060002,31701,WINDSOR CSD,3,BROOME,
WINDSOR CENTRAL HIGH SCHOOL,31701060007,31701,WINDSOR CSD,3,BROOME,
C R WEEKS ELEMENTARY SCHOOL,31701060003,31701,WINDSOR CSD,3,BROOME,
BROOME-DELAWARE-TIOGA BOCES,39000000000,39000,BOCES BROOME-DELAWARE-TIOGA,3,BROOME,3680140
WEST VALLEY CENTRAL SCHOOL,40204040001,40204,WEST VALLEY CSD,4,CATTARAUGUS,
WEST VALLEY CENTRAL SCHOOL DISTRICT,40204040000,40204,WEST VALLEY CSD,4,CATTARAUGUS,3630900
ALLEGANY-LIMESTONE MIDDLE-HIGH SCHOOL,40302060001,40302,ALLEGANY - LIMESTONE CSD,4,CATTARAUGUS,
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,40302060000,40302,ALLEGANY - LIMESTONE CSD,4,CATTARAUGUS,3600015
LIMESTONE ELEMENTARY SCHOOL,40302060003,40302,ALLEGANY - LIMESTONE CSD,4,CATTARAUGUS,
ALLEGANY-LIMESTONE MIDDLE SCHOOL,40302060004,40302,ALLEGANY - LIMESTONE CSD,4,CATTARAUGUS,
ALLEGANY-LIMESTONE ELEMENTARY SCHOOL,40302060002,40302,ALLEGANY - LIMESTONE CSD,4,CATTARAUGUS,
ELLICOTTVILLE ELEMENTARY SCHOOL,40901040001,40901,ELLICOTTVILLE CSD,4,CATTARAUGUS,
ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,40901040002,40901,ELLICOTTVILLE CSD,4,CATTARAUGUS,
ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,40901040000,40901,ELLICOTTVILLE CSD,4,CATTARAUGUS,3610530
FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,41101040002,41101,FRANKLINVILLE CSD,4,CATTARAUGUS,
FRANKLINVILLE ELEMENTARY SCHOOL,41101040003,41101,FRANKLINVILLE CSD,4,CATTARAUGUS,
FRANKLINVILLE CENTRAL SCHOOL DISTRICT,41101040000,41101,FRANKLINVILLE CSD,4,CATTARAUGUS,3611490
HINSDALE CENTRAL SCHOOL DISTRICT,41401040000,41401,HINSDALE CSD,4,CATTARAUGUS,3614490
HINSDALE CENTRAL SCHOOL,41401040001,41401,HINSDALE CSD,4,CATTARAUGUS,
CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL,42302040002,42302,CATTARAUGUS-LITTLE VALLEY CSD,4,CATTARAUGUS,
CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,42302040000,42302,CATTARAUGUS-LITTLE VALLEY CSD,4,CATTARAUGUS,3600024
CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,42302040003,42302,CATTARAUGUS-LITTLE VALLEY CSD,4,CATTARAUGUS,
CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,42302040004,42302,CATTARAUGUS-LITTLE VALLEY CSD,4,CATTARAUGUS,
CATTARAUGUS-LITTLE VALLEY INTERMEDIATE SCHOOL,42302040001,42302,CATTARAUGUS-LITTLE VALLEY CSD,4,CATTARAUGUS,
CATTARAUGUS COUNTY JAIL,42302950001,42302,CATTARAUGUS-LITTLE VALLEY CSD,4,CATTARAUGUS,
OLEAN INTERMEDIATE-MIDDLE SCHOOL,42400010016,42400,OLEAN CITY SD,4,CATTARAUGUS,
WASHINGTON WEST ELEMENTARY SCHOOL,42400010002,42400,OLEAN CITY SD,4,CATTARAUGUS,
IVERS J NORTON ELEMENTARY SCHOOL,42400010010,42400,OLEAN CITY SD,4,CATTARAUGUS,
OLEAN CITY SCHOOL DISTRICT,42400010000,42400,OLEAN CITY SD,4,CATTARAUGUS,3621720
OLEAN SENIOR HIGH SCHOOL,42400010013,42400,OLEAN CITY SD,4,CATTARAUGUS,
BOARDMANVILLE ELEMENTARY SCHOOL,42400010005,42400,OLEAN CITY SD,4,CATTARAUGUS,
EAST VIEW ELEMENTARY SCHOOL,42400010004,42400,OLEAN CITY SD,4,CATTARAUGUS,
GOWANDA HIGH SCHOOL,42801060006,42801,GOWANDA CSD,4,CATTARAUGUS,
GOWANDA ELEMENTARY SCHOOL,42801060001,42801,GOWANDA CSD,14,ERIE,
GOWANDA MIDDLE SCHOOL,42801060005,42801,GOWANDA CSD,4,CATTARAUGUS,
GOWANDA CENTRAL SCHOOL DISTRICT,42801060000,42801,GOWANDA CSD,4,CATTARAUGUS,3612390
PORTVILLE ELEMENTARY SCHOOL,42901040001,42901,PORTVILLE CSD,4,CATTARAUGUS,
PORTVILLE CENTRAL SCHOOL DISTRICT,42901040000,42901,PORTVILLE CSD,4,CATTARAUGUS,3623640
PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,42901040002,42901,PORTVILLE CSD,4,CATTARAUGUS,
RANDOLPH ACADEMY,43011020001,43001,RANDOLPH CSD,4,CATTARAUGUS,
RANDOLPH MIDDLE SCHOOL,43001040001,43001,RANDOLPH CSD,4,CATTARAUGUS,
RANDOLPH CENTRAL SCHOOL DISTRICT,43001040000,43001,RANDOLPH CSD,4,CATTARAUGUS,3624090
RANDOLPH SENIOR HIGH SCHOOL,43001040002,43001,RANDOLPH CSD,4,CATTARAUGUS,
