name,BEDS code,district code,district,county code,county,NCES code
ALBANY SCHOOL OF HUMANITIES,10100010023,10100,ALBANY CITY SD,1,ALBANY,
GIFFEN MEMORIAL ELEMENTARY SCHOOL,10100010029,10100,ALBANY CITY SD,1,ALBANY,
DELAWARE COMMUNITY SCHOOL,10100010018,10100,ALBANY CITY SD,1,ALBANY,
NEW SCOTLAND ELEMENTARY SCHOOL,10100010019,10100,ALBANY CITY SD,1,ALBANY,
NORTH ALBANY ACADEMY,10100010020,10100,ALBANY CITY SD,1,ALBANY,
STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,10100010045,10100,ALBANY CITY SD,1,ALBANY,
NYS OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES,10100690101,10100,ALBANY CITY SD,1,ALBANY,3600947
ACHIEVEMENT ACADEMY CHARTER SCHOOL,10100860876,10100,ALBANY CITY SD,1,ALBANY,3600129
ALBANY HIGH SCHOOL,10100010034,10100,ALBANY CITY SD,1,ALBANY,
WEST HILL MIDDLE SCHOOL,10100010046,10100,ALBANY CITY SD,1,ALBANY,
BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,10100860830,10100,ALBANY CITY SD,1,ALBANY,3600033
NEW COVENANT CHARTER SCHOOL,10100860005,10100,ALBANY CITY SD,1,ALBANY,3600031
PHILIP LIVINGSTON MAGNET ACADEMY,10100010031,10100,ALBANY CITY SD,1,ALBANY,
ALBANY CITY SCHOOL DISTRICT,10100010000,10100,ALBANY CITY SD,1,ALBANY,3602460
MONTESSORI MAGNET SCHOOL,10100010014,10100,ALBANY CITY SD,1,ALBANY,
ROOTS ACADEMY AT WEST HILL,10100010043,10100,ALBANY CITY SD,1,ALBANY,
ALBANY PREPARATORY CHARTER SCHOOL,10100860884,10100,ALBANY CITY SD,1,ALBANY,3600130
HENRY JOHNSON CHARTER SCHOOL,10100860892,10100,ALBANY CITY SD,1,ALBANY,3600946
KIPP ALBANY COMMUNITY CHARTER SCHOOL,10100860899,10100,ALBANY CITY SD,1,ALBANY,3600162
NYS DEPT OF CORRECTIONS PLACEMENT,10100690003,10100,ALBANY CITY SD,1,ALBANY,
BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,10100860977,10100,ALBANY CITY SD,1,ALBANY,3601021
PINE HILLS ELEMENTARY SCHOOL,10100010016,10100,ALBANY CITY SD,1,ALBANY,
GREEN TECH HIGH CHARTER SCHOOL,10100860907,10100,ALBANY CITY SD,1,ALBANY,3600945
ALBANY LEADERSHIP CHARTER SCHOOL FOR GIRLS,10100860960,10100,ALBANY CITY SD,1,ALBANY,3601006
EAGLE POINT ELEMENTARY SCHOOL,10100010027,10100,ALBANY CITY SD,1,ALBANY,
THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,10100010028,10100,ALBANY CITY SD,1,ALBANY,
WILLIAM S HACKETT MIDDLE SCHOOL,10100010030,10100,ALBANY CITY SD,1,ALBANY,
CAP DIST JUVENILE SECURE DETENTION,10100950004,10100,ALBANY CITY SD,1,ALBANY,
NEW YORK STATE OFFICE MENTAL HEALTH (OMH),10100690100,10100,ALBANY CITY SD,1,ALBANY,3600127
BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,10100860829,10100,ALBANY CITY SD,1,ALBANY,3600032
NEW YORK STATE DEPARTMENT OF CORRECTIONS,10100690001,10100,ALBANY CITY SD,1,ALBANY,3600126
KIPP TECH VALLEY CHARTER SCHOOL,10100860867,10100,ALBANY CITY SD,1,ALBANY,3600128
BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,10100860976,10100,ALBANY CITY SD,1,ALBANY,3601020
ALBANY INTERNATIONAL SCHOOL,10100010050,10100,ALBANY CITY SD,1,ALBANY,
DUAL LANGUAGE PROGRAM AT ALBANY INTERNATIONAL ACADEMY,10100010052,10100,ALBANY CITY SD,1,ALBANY,
ARBOR HILL ELEMENTARY SCHOOL,10100010039,10100,ALBANY CITY SD,1,ALBANY,
SHERIDAN PREPARATORY ACADEMY,10100010044,10100,ALBANY CITY SD,1,ALBANY,
NORTH ALBANY ACADEMY MIDDLE SCHOOL,10100010051,10100,ALBANY CITY SD,1,ALBANY,
BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,10201040001,10201,BERNE-KNOX-WESTERLO CSD,1,ALBANY,
BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,10201040000,10201,BERNE-KNOX-WESTERLO CSD,1,ALBANY,3604650
BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,10201040002,10201,BERNE-KNOX-WESTERLO CSD,1,ALBANY,
BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,10306060008,10306,BETHLEHEM CSD,1,ALBANY,
CLARKSVILLE ELEMENTARY SCHOOL,10306060001,10306,BETHLEHEM CSD,1,ALBANY,
SLINGERLANDS ELEMENTARY SCHOOL,10306060006,10306,BETHLEHEM CSD,1,ALBANY,
HAMAGRAEL ELEMENTARY SCHOOL,10306060005,10306,BETHLEHEM CSD,1,ALBANY,
EAGLE ELEMENTARY SCHOOL,10306060009,10306,BETHLEHEM CSD,1,ALBANY,
ELSMERE ELEMENTARY SCHOOL,10306060003,10306,BETHLEHEM CSD,1,ALBANY,
GLENMONT ELEMENTARY SCHOOL,10306060004,10306,BETHLEHEM CSD,1,ALBANY,
BETHLEHEM CENTRAL MIDDLE SCHOOL,10306060007,10306,BETHLEHEM CSD,1,ALBANY,
BETHLEHEM CENTRAL SCHOOL DISTRICT,10306060000,10306,BETHLEHEM CSD,1,ALBANY,3604710
RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,10402060001,10402,RAVENA-COEYMANS-SELKIRK CSD,1,ALBANY,
ALBERTUS W BECKER SCHOOL,10402060002,10402,RAVENA-COEYMANS-SELKIRK CSD,1,ALBANY,
RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,10402060000,10402,RAVENA-COEYMANS-SELKIRK CSD,1,ALBANY,3624150
