Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,I.S. 27 - STATEN ISLAND,Richmond,Public School,R027,https://www.schools.nyc.gov/schools/R027,77.0,0.0,0.0,77.0,Yes,70,7,Yes,Yes,Ongoing,11 CLOVE LAKE PLACE,Staten Island,NY,10310,05/16/2025,"(40.628291, -74.117818)","(40.628291, -74.117818)",IS 27 STATEN ISLAND,,669.0,869.0,0.7698504027617952,11.36,0.006904487917146145,0.12543153049482164,0.2002301495972382,0.44649021864211735,0.1956271576524741,0.0011507479861910242,0.024165707710011506
2023-2025,NYC DOE,I.S. 271 - BROOKLYN,Kings,Public School,K271,https://www.schools.nyc.gov/schools/K644,77.0,0.0,0.0,77.0,Yes,64,13,Yes,Yes,Ongoing,1137 HERKIMER STREET,Brooklyn,NY,11233,05/02/2025,"(40.678124, -73.915106)","(40.678124, -73.915106)",IS 271 BROOKLYN,,720.0,929.0,0.77502691065662,15.75,0.0032292787944025836,0.7707212055974165,0.012917115177610334,0.09364908503767493,0.10871905274488698,0.0032292787944025836,0.007534983853606028
2023-2025,NYC DOE,I.S. 275 - BROOKLYN,Kings,Public School,K275,https://www.schools.nyc.gov/schools/K518,82.0,0.0,82.0,0.0,Yes,82,0,Yes,Yes,Complete,985 ROCKAWAY AVENUE,BROOKLYN,NY,11212,01/27/2025,"(40.655644, -73.906662)","(40.655644, -73.906662)",IS 275 BROOKLYN,,720.0,929.0,0.77502691065662,15.75,0.0032292787944025836,0.7707212055974165,0.012917115177610334,0.09364908503767493,0.10871905274488698,0.0032292787944025836,0.007534983853606028
2023-2025,NYC DOE,I.S. 278 - BROOKLYN,Kings,Public School,K278,https://www.schools.nyc.gov/schools/K278,43.0,0.0,0.0,43.0,Yes,41,2,Yes,Yes,Ongoing,1925 STUART STREET,Brooklyn,NY,11229,04/04/2025,"(40.606745, -73.938721)","(40.606745, -73.938721)",IS 278 BROOKLYN,,720.0,929.0,0.77502691065662,15.75,0.0032292787944025836,0.7707212055974165,0.012917115177610334,0.09364908503767493,0.10871905274488698,0.0032292787944025836,0.007534983853606028
2023-2025,NYC DOE,I.S. 281 - BROOKLYN,Kings,Public School,K281,https://www.schools.nyc.gov/schools/K744,87.0,0.0,87.0,0.0,Yes,87,0,Yes,Yes,Complete,8787 24 AVENUE,BROOKLYN,NY,11214,02/21/2025,"(40.594648, -73.993565)","(40.594648, -73.993565)",IS 281 BROOKLYN,,1067.0,1232.0,0.8660714285714286,13.17,0.006493506493506494,0.40584415584415584,0.06168831168831169,0.2662337662337662,0.24594155844155843,0.0016233766233766235,0.012175324675324676
2023-2025,NYC DOE,I.S. 285 - BROOKLYN,Kings,Public School,K285,https://www.schools.nyc.gov/schools/K285,34.0,0.0,0.0,34.0,Yes,29,5,Yes,Yes,Ongoing,5909 BEVERLY ROAD,Brooklyn,NY,11203,04/18/2025,"(40.647818, -73.920784)","(40.647818, -73.920784)",IS 285 BROOKLYN,,393.0,479.0,0.8204592901878914,13.31,0.006263048016701462,0.014613778705636743,0.8747390396659708,0.08350730688935282,0.012526096033402923,0.0020876826722338203,0.006263048016701462
2023-2025,NYC DOE,I.S. 291 - BROOKLYN,Kings,Public School,K291,https://www.schools.nyc.gov/schools/K564,75.0,0.0,0.0,75.0,Yes,59,16,Yes,Yes,Ongoing,231 PALMETTO STREET,Brooklyn,NY,11221,02/21/2025,"(40.695875, -73.915217)","(40.695875, -73.915217)",IS 291 BROOKLYN,,720.0,929.0,0.77502691065662,15.75,0.0032292787944025836,0.7707212055974165,0.012917115177610334,0.09364908503767493,0.10871905274488698,0.0032292787944025836,0.007534983853606028
2023-2025,NYC DOE,I.S. 292 - BROOKLYN,Kings,Public School,K292,https://www.schools.nyc.gov/schools/K774,85.0,0.0,85.0,0.0,Yes,85,0,Yes,Yes,Complete,301 VERMONT STREET,BROOKLYN,NY,11207,02/07/2025,"(40.671601, -73.893319)","(40.671601, -73.893319)",IS 292 BROOKLYN,,720.0,929.0,0.77502691065662,15.75,0.0032292787944025836,0.7707212055974165,0.012917115177610334,0.09364908503767493,0.10871905274488698,0.0032292787944025836,0.007534983853606028
2023-2025,NYC DOE,I.S. 296 - BROOKLYN,Kings,Public School,K296,https://www.schools.nyc.gov/schools/K053,61.0,0.0,61.0,0.0,Yes,61,0,Yes,Yes,Complete,125 COVERT STREET,BROOKLYN,NY,11207,12/27/2024,"(40.688647, -73.910589)","(40.688647, -73.910589)",IS 296 BROOKLYN,,720.0,929.0,0.77502691065662,15.75,0.0032292787944025836,0.7707212055974165,0.012917115177610334,0.09364908503767493,0.10871905274488698,0.0032292787944025836,0.007534983853606028
2023-2025,NYC DOE,I.S. 30 - BROOKLYN,Kings,Public School,K940,https://www.schools.nyc.gov/schools/K030,52.0,52.0,0.0,0.0,Yes,52,0,Yes,Yes,Complete,415 OVINGTON AVENUE,Brooklyn,NY,11209,05/31/2024,"(40.63371, -74.023036)","(40.63371, -74.023036)",IS 30 BROOKLYN,,349.0,386.0,0.9041450777202072,11.4,0.007772020725388601,0.19689119170984457,0.11917098445595854,0.26424870466321243,0.4015544041450777,0.0,0.010362694300518135
