Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,P.S. 314 - BRONX,Bronx,Public School,X314,https://www.schools.nyc.gov/schools/X483,40.0,40.0,0.0,0.0,Yes,40,0,Yes,,,4520 MATILDA AVENUE,Bronx,NY,10470,08/17/2023,"(40.901436, -73.854402)","(40.901436, -73.854402)",PS 314 BRONX,,432.0,441.0,0.9795918367346939,11.92,0.0,0.0045351473922902496,0.2290249433106576,0.7369614512471655,0.022675736961451247,0.0,0.006802721088435374
2023-2025,NYC DOE,P.S. 314 - BROOKLYN,Kings,Public School,K314,https://www.schools.nyc.gov/schools/K503,187.0,0.0,187.0,0.0,Yes,166,21,Yes,Yes,Ongoing,330 59 STREET,BROOKLYN,NY,11220,05/03/2024,"(40.64195, -74.019299)","(40.64195, -74.019299)",PS 314 BROOKLYN,,238.0,643.0,0.3701399688958009,14.18,0.0015552099533437014,0.04043545878693624,0.14152410575427682,0.2223950233281493,0.432348367029549,0.0015552099533437014,0.15707620528771385
2023-2025,NYC DOE,P.S. 315 - BRONX,Bronx,Public School,X859,https://www.schools.nyc.gov/schools/X598,26.0,26.0,0.0,0.0,Yes,26,0,Yes,,,2246 JEROME AVENUE,Bronx,NY,10453,10/20/2023,"(40.857932, -73.903764)","(40.857932, -73.903764)",PS 315 BRONX,,177.0,188.0,0.9414893617021277,11.57,0.0,0.010638297872340425,0.0797872340425532,0.8829787234042553,0.015957446808510637,0.0,0.010638297872340425
2023-2025,NYC DOE,P.S. 315 - Queens,Queens,Public School,Q315,https://www.schools.nyc.gov/schools/Q110,186.0,0.0,0.0,186.0,Yes,182,4,Yes,Yes,Ongoing,43-18 97TH PLACE,Queens,NY,11368,02/07/2025,"(40.745995, -73.866372)","(40.745995, -73.866372)",PS 315 Queens,,546.0,686.0,0.7959183673469388,14.32,0.38629737609329445,0.2696793002915452,0.0597667638483965,0.21428571428571427,0.02478134110787172,0.02040816326530612,0.02478134110787172
2023-2025,NYC DOE,P.S. 316 - BROOKLYN,Kings,Public School,K316,https://www.schools.nyc.gov/schools/K316,106.0,0.0,106.0,0.0,Yes,100,6,Yes,Yes,Ongoing,750 CLASSON AVENUE,BROOKLYN,NY,11238,06/28/2024,"(40.674685, -73.961418)","(40.674685, -73.961418)",PS 316 BROOKLYN,,293.0,561.0,0.5222816399286988,11.04,0.008912655971479501,0.026737967914438502,0.5115864527629234,0.16934046345811052,0.19786096256684493,0.0071301247771836,0.0784313725490196
2023-2025,NYC DOE,P.S. 317 - BRONX,Bronx,Public School,X317,https://www.schools.nyc.gov/schools/X583,102.0,0.0,102.0,0.0,Yes,102,0,Yes,,,1028 WHITE PLAINS ROAD,BRONX,NY,10472,07/12/2024,"(40.826949, -73.859622)","(40.826949, -73.859622)",PS 317 BRONX,,432.0,441.0,0.9795918367346939,11.92,0.0,0.0045351473922902496,0.2290249433106576,0.7369614512471655,0.022675736961451247,0.0,0.006802721088435374
2023-2025,NYC DOE,P.S. 319 - BROOKLYN,Kings,Public School,K319,https://www.schools.nyc.gov/schools/K319,23.0,23.0,0.0,0.0,Yes,23,0,Yes,Yes,Complete,360 KEAP STREET,Brooklyn,NY,11211,05/31/2024,"(40.709632, -73.953881)","(40.709632, -73.953881)",PS 319 BROOKLYN,,63.0,83.0,0.7590361445783133,13.83,0.0,0.024096385542168676,0.08433734939759036,0.8433734939759037,0.04819277108433735,0.0,0.0
2023-2025,NYC DOE,P.S. 32 - BRONX,Bronx,Public School,X032,https://www.schools.nyc.gov/schools/X032,81.0,81.0,0.0,0.0,Yes,81,0,Yes,Yes,Complete,690 EAST 183 STREET,Bronx,NY,10458,08/17/2023,"(40.851724, -73.88622)","(40.851724, -73.88622)",PS 32 BRONX,,517.0,541.0,0.955637707948244,10.29,0.022181146025878003,0.0036968576709796672,0.19038817005545286,0.756007393715342,0.02033271719038817,0.005545286506469501,0.0018484288354898336
2023-2025,NYC DOE,P.S. 32 - BROOKLYN,Kings,Public School,K032,https://www.schools.nyc.gov/schools/K032,90.0,0.0,90.0,0.0,Yes,90,0,Yes,Yes,Complete,317 HOYT STREET,BROOKLYN,NY,11231,08/23/2024,"(40.680159, -73.991141)","(40.680159, -73.991141)",PS 32 BROOKLYN,,174.0,448.0,0.38839285714285715,8.3,0.006696428571428571,0.09151785714285714,0.171875,0.22991071428571427,0.42857142857142855,0.004464285714285714,0.06696428571428571
2023-2025,NYC DOE,P.S. 32 - QUEENS,Queens,Public School,Q032,https://www.schools.nyc.gov/schools/Q032,107.0,0.0,0.0,107.0,Yes,94,13,Yes,Yes,Ongoing,171-11 35 Avenue,Queens,NY,11358,02/21/2025,"(40.765459, -73.794323)","(40.765459, -73.794323)",PS 32 QUEENS,,569.0,836.0,0.680622009569378,14.49,0.004784688995215311,0.6267942583732058,0.0035885167464114833,0.2631578947368421,0.0645933014354067,0.0035885167464114833,0.03349282296650718
