Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,WHITE PLAINS CITY SCHOOLS,CHURCH STREET SCHOOL,Westchester,Public School,662200010001,https://www.whiteplainspublicschools.org/district-offices/facilities-maintenance/facilities-reports,19.0,0.0,19.0,0.0,Yes,19,0,Yes,,,295 CHURCH ST,WHITE PLAINS,NY,10603,05/07/2024,,,CHURCH STREET SCHOOL,,320.0,595.0,0.5378151260504201,11.17,0.0,0.06218487394957983,0.11764705882352941,0.6302521008403361,0.13277310924369748,0.0,0.05714285714285714
2023-2025,WHITE PLAINS CITY SCHOOLS,EASTVIEW MIDDLE SCHOOL,Westchester,Public School,662200010016,https://www.whiteplainspublicschools.org/district-offices/facilities-maintenance/facilities-reports,36.0,0.0,36.0,0.0,Yes,36,0,Yes,,,350 MAIN ST,WHITE PLAINS,NY,10601,05/07/2024,,,EASTVIEW MIDDLE SCHOOL,,,,,,,,,,,,
2023-2025,WHITE PLAINS CITY SCHOOLS,GEORGE WASHINGTON SCHOOL,Westchester,Public School,662200010002,https://www.whiteplainspublicschools.org/district-offices/facilities-maintenance/facilities-reports,31.0,0.0,31.0,0.0,Yes,30,1,Yes,Yes,Complete,100 ORCHARD ST,WHITE PLAINS,NY,10604,05/07/2024,,,GEORGE WASHINGTON SCHOOL,,155.0,432.0,0.3587962962962963,12.16,0.0,0.0625,0.06944444444444445,0.46064814814814814,0.37962962962962965,0.0,0.027777777777777776
2023-2025,WHITE PLAINS CITY SCHOOLS,MAMARONECK AVENUE SCHOOL,Westchester,Public School,662200010003,https://www.whiteplainspublicschools.org/district-offices/facilities-maintenance/facilities-reports,21.0,0.0,21.0,0.0,Yes,21,0,Yes,,,7 NOSBAND AVE,WHITE PLAINS,NY,10605,05/07/2024,,,MAMARONECK AVENUE SCHOOL,,322.0,651.0,0.4946236559139785,9.95,0.0030721966205837174,0.016897081413210446,0.03686635944700461,0.5314900153609831,0.3533026113671275,0.0015360983102918587,0.05683563748079877
2023-2025,WHITE PLAINS CITY SCHOOLS,POST ROAD SCHOOL,Westchester,Public School,662200010005,https://www.whiteplainspublicschools.org/district-offices/facilities-maintenance/facilities-reports,54.0,0.0,54.0,0.0,Yes,53,1,Yes,Yes,Complete,175 W POST RD,WHITE PLAINS,NY,10606,05/07/2024,,,POST ROAD SCHOOL,,318.0,599.0,0.5308848080133556,11.51,0.00333889816360601,0.021702838063439065,0.0667779632721202,0.672787979966611,0.18530884808013356,0.0,0.05008347245409015
2023-2025,WHITE PLAINS CITY SCHOOLS,RIDGEWAY SCHOOL,Westchester,Public School,662200010006,https://www.whiteplainspublicschools.org/district-offices/facilities-maintenance/facilities-reports,14.0,0.0,14.0,0.0,Yes,14,0,Yes,,,225 RIDGEWAY,WHITE PLAINS,NY,10605,05/07/2024,,,RIDGEWAY SCHOOL,,231.0,584.0,0.3955479452054795,10.8,0.0017123287671232876,0.05136986301369863,0.10102739726027397,0.4400684931506849,0.3561643835616438,0.0,0.04965753424657534
2023-2025,WHITE PLAINS CITY SCHOOLS,WHITE PLAINS MS,Westchester,Public School,662200010012,https://www.whiteplainspublicschools.org/district-offices/facilities-maintenance/facilities-reports,41.0,0.0,41.0,0.0,Yes,40,1,Yes,Yes,Complete,128 GRANDVIEW AVE,WHITE PLAINS,NY,10605,05/07/2024,,,WHITE PLAINS,,793.0,1554.0,0.5102960102960103,10.22,0.0006435006435006435,0.030244530244530245,0.11132561132561132,0.5862290862290862,0.22007722007722008,0.0,0.05083655083655084
2023-2025,WHITE PLAINS CITY SCHOOLS,WHITE PLAINS S H S,Westchester,Public School,662200010011,https://www.whiteplainspublicschools.org/district-offices/facilities-maintenance/facilities-reports,68.0,0.0,68.0,0.0,Yes,68,2,Yes,Yes,Complete,550 NORTH ST,WHITE PLAINS,NY,10605,05/07/2024,,,WHITE PLAINS S,,793.0,1554.0,0.5102960102960103,10.22,0.0006435006435006435,0.030244530244530245,0.11132561132561132,0.5862290862290862,0.22007722007722008,0.0,0.05083655083655084
2023-2025,WHITEHALL CENTRAL SCHOOL,WHITEHALL ELEM SCHOOL,Washington,Public School,641701060001,www.railroaders.net,6.0,0.0,0.0,6.0,Yes,4,2,Yes,Yes,Complete,BUCKLEY RD,WHITEHALL,NY,12887,04/21/2025,,,WHITEHALL  SCHOOL,,187.0,346.0,0.5404624277456648,9.61,0.002890173410404624,0.008670520231213872,0.023121387283236993,0.008670520231213872,0.953757225433526,0.002890173410404624,0.0
2023-2025,WHITEHALL CENTRAL SCHOOL,WHITEHALL J S H S,Washington,Public School,641701060002,www.railroaders.net,18.0,0.0,0.0,18.0,Yes,16,2,Yes,Yes,Complete,BUCKLEY RD,WHITEHALL,NY,12887,04/21/2025,,,WHITEHALL S,,187.0,346.0,0.5404624277456648,9.61,0.002890173410404624,0.008670520231213872,0.023121387283236993,0.008670520231213872,0.953757225433526,0.002890173410404624,0.0
