Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,SYOSSET CENTRAL SCHOOL,ROBBINS LANE SCHOOL,Nassau,Public School,280502060006,https://www.syossetschools.org/,13.0,0.0,0.0,13.0,Yes,11,2,Yes,Yes,Ongoing,157 ROBBINS LANE,SYOSSET,NY,11791,06/30/2025,,,ROBBINS LANE SCHOOL,,86.0,469.0,0.18336886993603413,11.38,0.0,0.6652452025586354,0.0042643923240938165,0.04051172707889126,0.2579957356076759,0.0,0.031982942430703626
2023-2025,SYOSSET CENTRAL SCHOOL,SOUTH GROVE SCHOOL,Nassau,Public School,280502060007,https://www.syossetschools.org/,21.0,0.0,0.0,21.0,Yes,19,2,Yes,Yes,Ongoing,COLONY LN,SYOSSET,NY,11791,06/30/2025,,,SOUTH GROVE SCHOOL,,65.0,405.0,0.16049382716049382,9.69,0.0049382716049382715,0.7234567901234568,0.0049382716049382715,0.05432098765432099,0.17530864197530865,0.0024691358024691358,0.0345679012345679
2023-2025,SYOSSET CENTRAL SCHOOL,SOUTH WOODS J H S,Nassau,Public School,280502060012,https://www.syossetschools.org/,38.0,0.0,0.0,38.0,Yes,35,3,Yes,Yes,Ongoing,PELL LN,SYOSSET,NY,11791,06/30/2025,,,SOUTH WOODS S,,,,,9.58,,,,,,,
2023-2025,SYOSSET CENTRAL SCHOOL,VILLAGE SCHOOL,Nassau,Public School,280502060010,https://www.syossetschools.org/,11.0,0.0,0.0,11.0,Yes,11,0,Yes,,Ongoing,90 CONVENT RD,SYOSSET,NY,11791,06/30/2025,,,VILLAGE SCHOOL,,32.0,408.0,0.0784313725490196,10.2,0.0,0.5343137254901961,0.0024509803921568627,0.07598039215686274,0.3480392156862745,0.0,0.0392156862745098
2023-2025,SYOSSET CENTRAL SCHOOL,WALT WHITMAN SCHOOL,Nassau,Public School,280502060001,https://www.syossetschools.org/,11.0,0.0,0.0,11.0,Yes,11,0,Yes,,Ongoing,WOODBURY RD,WOODBURY,NY,11797,06/30/2025,,,WALT WHITMAN SCHOOL,,34.0,398.0,0.08542713567839195,11.88,0.002512562814070352,0.3015075376884422,0.022613065326633167,0.04020100502512563,0.5979899497487438,0.0,0.035175879396984924
2023-2025,SYRACUSE CITY SCHOOLS,(LEAD ONLY) (BMI ONLY) SYRACUSE LATIN SCHOOL,Onondaga,Public School,421800010025,www.syracusecityschools.com,69.0,65.0,4.0,0.0,Yes,68,1,Yes,Yes,Ongoing,345 JAMESVILLE AVE,SYRACUSE,NY,13210,12/12/2024,,,SYRACUSE LATIN SCHOOL,,279.0,644.0,0.4332298136645963,12.5,0.0015527950310559005,0.03260869565217391,0.3338509316770186,0.10714285714285714,0.422360248447205,0.0015527950310559005,0.10093167701863354
2023-2025,SYRACUSE CITY SCHOOLS,(LEAD ONLY) FORMER JAMES A. SHEA MS,Onondaga,Public School,421800010045,www.syracusecityschools.com,26.0,0.0,26.0,,Yes,25,1,Yes,Yes,Ongoing,1607 S. GEDDES ST,SYRACUSE,NY,13207,07/21/2025,,,FORMER JAMES A SHEA,,,,,,,,,,,,
2023-2025,SYRACUSE CITY SCHOOLS,(LEAD ONLY) FORMER T. AARON LEVY MS,Onondaga,Public School,421800010036,www.syracusecityschools.com,36.0,0.0,36.0,,Yes,35,1,Yes,Yes,Ongoing,111 FELLOWS AVE,SYRACUSE,NY,13210,07/21/2025,,,FORMER T AARON LEVY,,,,,,,,,,,,
2023-2025,SYRACUSE CITY SCHOOLS,BELLEVUE SCHOOL,Onondaga,Public School,421800010004,www.syracusecityschools.com,36.0,36.0,0.0,0.0,,36,0,,Yes,Ongoing,530 STOLP AVE,SYRACUSE,NY,13207,03/12/2025,,,BELLEVUE SCHOOL,,373.0,399.0,0.9348370927318296,9.31,0.005012531328320802,0.005012531328320802,0.518796992481203,0.21553884711779447,0.18546365914786966,0.0,0.07017543859649122
2023-2025,SYRACUSE CITY SCHOOLS,BRIGHTON ACADEMY,Onondaga,Public School,421800010020,www.syracusecityschools.com,38.0,36.0,2.0,,Yes,38,0,Yes,Yes,Complete,309 W BRIGHTON AVE,SYRACUSE,NY,13205,06/06/2024,,,BRIGHTON ACADEMY,,343.0,350.0,0.98,10.4,0.005714285714285714,0.014285714285714285,0.7371428571428571,0.09142857142857143,0.06857142857142857,0.002857142857142857,0.08
2023-2025,SYRACUSE CITY SCHOOLS,CLARY MIDDLE SCHOOL,Onondaga,Public School,421800010003,www.syracusecityschools.com,32.0,30.0,2.0,0.0,Yes,32,0,Yes,Yes,Complete,100 AMIDON DR,SYRACUSE,NY,13205,06/06/2024,,,CLARY MIDDLE SCHOOL,,234.0,263.0,0.8897338403041825,8.27,0.022813688212927757,0.0,0.6539923954372624,0.08745247148288973,0.09505703422053231,0.0,0.14068441064638784
2023-2025,SYRACUSE CITY SCHOOLS,CORCORAN HIGH SCHOOL,Onondaga,Public School,421800010033,www.syracusecityschools.com,53.0,0.0,53.0,0.0,Yes,49,4,Yes,Yes,Ongoing,919 GLENWOOD AVE,SYRACUSE,NY,13207,12/12/2024,,,CORCORAN HIGH SCHOOL,,1081.0,1244.0,0.8689710610932476,13.04,0.01607717041800643,0.02090032154340836,0.5538585209003215,0.14710610932475884,0.1752411575562701,0.0040192926045016075,0.0819935691318328
2023-2025,SYRACUSE CITY SCHOOLS,DELAWARE SCHOOL,Onondaga,Public School,421800010041,www.syracusecityschools.com,70.0,54.0,8.0,8.0,Yes,70,0,Yes,Yes,Ongoing,900 S GEDDES ST,SYRACUSE,NY,13204,06/05/2025,,,DELAWARE SCHOOL,,379.0,395.0,0.959493670886076,9.37,0.005063291139240506,0.012658227848101266,0.3848101265822785,0.3670886075949367,0.1341772151898734,0.0,0.09620253164556962
2023-2025,SYRACUSE CITY SCHOOLS,DR EDWIN E WEEKS SCHOOL,Onondaga,Public School,421800010052,www.syracusecityschools.com,107.0,101.0,6.0,0.0,Yes,106,1,Yes,Yes,Complete,710 Hawley Ave.,SYRACUSE,NY,13207,04/16/2024,,,EDWIN WEEKS SCHOOL,,,,,,,,,,,,
2023-2025,SYRACUSE CITY SCHOOLS,EDWARD SMITH PRE-K-8 SCHOOL,Onondaga,Public School,421800010008,www.syracusecityschools.com,50.0,47.0,3.0,0.0,Yes,49,1,Yes,Yes,Complete,1106 LANCASTER AVE+BROAD S,SYRACUSE,NY,13210,06/13/2024,,,EDWARD SMITH PREK8 SCHOOL,,466.0,675.0,0.6903703703703704,10.25,0.007407407407407408,0.06222222222222222,0.42518518518518517,0.08888888888888889,0.33185185185185184,0.0,0.08444444444444445
2023-2025,SYRACUSE CITY SCHOOLS,FRANKLIN SCHOOL,Onondaga,Public School,421800010021,www.syracusecityschools.com,65.0,64.0,1.0,0.0,Yes,64,1,Yes,Yes,Complete,428 S ALVORD ST,SYRACUSE,NY,13208,04/18/2024,,,FRANKLIN SCHOOL,,624.0,646.0,0.9659442724458205,14.58,0.006191950464396285,0.2739938080495356,0.43343653250773995,0.07120743034055728,0.12848297213622292,0.0015479876160990713,0.08513931888544891
2023-2025,SYRACUSE CITY SCHOOLS,FRAZER SCHOOL,Onondaga,Public School,421800010022,www.syracusecityschools.com,44.0,43.0,1.0,0.0,Yes,44,0,Yes,Yes,Complete,741 PARK AVE,SYRACUSE,NY,13204,04/06/2024,,,FRAZER SCHOOL,,737.0,787.0,0.9364675984752223,10.97,0.01905972045743329,0.0698856416772554,0.4104193138500635,0.204574332909784,0.19186785260482847,0.0012706480304955528,0.10038119440914867
2023-2025,SYRACUSE CITY SCHOOLS,GRANT MIDDLE SCHOOL,Onondaga,Public School,421800010035,www.syracusecityschools.com,85.0,83.0,2.0,0.0,Yes,78,7,Yes,Yes,Ongoing,2400 GRANT BLVD,SYRACUSE,NY,13208,12/12/2024,,,GRANT MIDDLE SCHOOL,,569.0,601.0,0.9467554076539102,10.38,0.02329450915141431,0.2113144758735441,0.37603993344425957,0.11813643926788686,0.19800332778702162,0.0016638935108153079,0.07154742096505824
2023-2025,SYRACUSE CITY SCHOOLS,H W SMITH ELEM SCHOOL,Onondaga,Public School,421800010031,www.syracusecityschools.com,67.0,64.0,3.0,0.0,Yes,65,2,Yes,Yes,Complete,1130 SALT SPRINGS RD,SYRACUSE,NY,13224,04/19/2024,,,H SMITH  SCHOOL,,662.0,767.0,0.863102998696219,12.3,0.003911342894393742,0.07431551499348109,0.6166883963494133,0.11082138200782268,0.1316818774445893,0.002607561929595828,0.05997392438070404
2023-2025,SYRACUSE CITY SCHOOLS,HENNINGER H S,Onondaga,Public School,421800010040,www.syracusecityschools.com,83.0,0.0,83.0,0.0,Yes,82,1,Yes,Yes,Ongoing,600 ROBINSON ST,SYRACUSE,NY,13206,12/12/2024,,,HENNINGER S,,1260.0,1443.0,0.8731808731808732,12.88,0.018711018711018712,0.11157311157311157,0.4365904365904366,0.1295911295911296,0.22245322245322247,0.002772002772002772,0.07623007623007623
2023-2025,SYRACUSE CITY SCHOOLS,HUNTINGTON SCHOOL,Onondaga,Public School,421800010015,www.syracusecityschools.com,39.0,38.0,1.0,0.0,Yes,38,1,Yes,Yes,Complete,400 SUNNYCREST RD,SYRACUSE,NY,13206,04/17/2024,,,HUNTINGTON SCHOOL,,760.0,871.0,0.8725602755453502,12.65,0.029850746268656716,0.10332950631458095,0.3559127439724455,0.09758897818599312,0.29161882893226176,0.001148105625717566,0.12055109070034443
2023-2025,SYRACUSE CITY SCHOOLS,INSTITUTE OF TECHNOLOGY,Onondaga,Public School,421800010047,www.syracusecityschools.com,49.0,48.0,1.0,0.0,Yes,47,2,Yes,Yes,Complete,258 E. Adams St.,SYRACUSE,NY,13210,06/06/2024,,,INSTITUTE OF TECHNOLOGY,,411.0,568.0,0.7235915492957746,11.13,0.014084507042253521,0.0721830985915493,0.4964788732394366,0.1267605633802817,0.22007042253521128,0.0017605633802816902,0.06866197183098592
