Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,PEEKSKILL CITY SCHOOLS,PEEKSKILL MIDDLE SCHOOL,Westchester,Public School,661500010010,https://www.peekskillcsd.org/Page/6405,18.0,0.0,18.0,0.0,Yes,18,0,Yes,,,RINGGOLD ST,PEEKSKILL,NY,10566,02/06/2025,,,PEEKSKILL MIDDLE SCHOOL,,328.0,841.0,0.39001189060642094,11.39,0.0,0.013079667063020214,0.13793103448275862,0.7502972651605232,0.06302021403091558,0.0,0.0356718192627824
2023-2025,PEEKSKILL CITY SCHOOLS,URIAH HILL SCHOOL,Westchester,Public School,661500010003,https://www.peekskillcsd.org/Page/6405,41.0,0.0,41.0,0.0,Yes,39,2,Yes,Yes,Ongoing,980 PEMART AVE,PEEKSKILL,NY,10566,02/06/2025,,,URIAH HILL SCHOOL,,12.0,186.0,0.06451612903225806,16.91,0.0,0.005376344086021506,0.07526881720430108,0.7956989247311828,0.08602150537634409,0.0,0.03763440860215054
2023-2025,PEEKSKILL CITY SCHOOLS,WOODSIDE SCHOOL,Westchester,Public School,661500010004,https://www.peekskillcsd.org/Page/6405,58.0,0.0,58.0,0.0,Yes,48,10,Yes,Yes,Ongoing,612 DEPEW ST,PEEKSKILL,NY,10566,02/06/2025,,,WOODSIDE SCHOOL,,172.0,508.0,0.33858267716535434,11.9,0.001968503937007874,0.02952755905511811,0.12992125984251968,0.7362204724409449,0.07480314960629922,0.0,0.027559055118110236
2023-2025,PELHAM UNION FREE SCHOOL,COLONIAL SCHOOL,Westchester,Public School,661601030001,https://www.pelhamschools.org/parents-and-community/annual-notificationspolicies,20.0,20.0,0.0,0.0,Yes,12,8,Yes,Yes,Ongoing,HIGHBROOK AVE,PELHAM,NY,10803,12/11/2023,,,COLONIAL SCHOOL,,,,,13.68,,,,,,,
2023-2025,PELHAM UNION FREE SCHOOL,HUTCHINSON SCHOOL,Westchester,Public School,661601030002,https://www.pelhamschools.org/parents-and-community/annual-notificationspolicies,57.0,57.0,0.0,0.0,Yes,54,3,Yes,Yes,Not Started,301 THIRD AVE,PELHAM,NY,10803,11/02/2023,,,HUTCHINSON SCHOOL,,,,,9.63,,,,,,,
2023-2025,PELHAM UNION FREE SCHOOL,PELHAM J H S,Westchester,Public School,661601030006,https://www.pelhamschools.org/parents-and-community/annual-notificationspolicies,11.0,11.0,0.0,0.0,Yes,11,0,Yes,,,COLONIAL AVE,PELHAM,NY,10803,11/02/2023,,,PELHAM S,,120.0,860.0,0.13953488372093023,11.8,0.0,0.05465116279069768,0.07209302325581396,0.18023255813953487,0.6325581395348837,0.0,0.06046511627906977
2023-2025,PELHAM UNION FREE SCHOOL,PELHAM MEMORIAL S H S,Westchester,Public School,661601030005,https://www.pelhamschools.org/parents-and-community/annual-notificationspolicies,46.0,46.0,0.0,0.0,Yes,43,3,Yes,Yes,Ongoing,640 COLONIAL AVE,PELHAM,NY,10803,06/24/2024,,,PELHAM MEMORIAL S,,120.0,860.0,0.13953488372093023,11.8,0.0,0.05465116279069768,0.07209302325581396,0.18023255813953487,0.6325581395348837,0.0,0.06046511627906977
2023-2025,PELHAM UNION FREE SCHOOL,PROSPECT HILL SCHOOL,Westchester,Public School,661601030003,https://www.pelhamschools.org/parents-and-community/annual-notificationspolicies,21.0,21.0,0.0,0.0,Yes,19,2,Yes,Yes,Not Started,CLAY AND WASH AVES,PELHAM MANOR,NY,10803,11/02/2023,,,PROSPECT HILL SCHOOL,,6.0,336.0,0.017857142857142856,14.79,0.0,0.08035714285714286,0.03869047619047619,0.09523809523809523,0.6636904761904762,0.0,0.12202380952380952
2023-2025,PELHAM UNION FREE SCHOOL,SIWANOY SCHOOL,Westchester,Public School,661601030004,https://www.pelhamschools.org/parents-and-community/annual-notificationspolicies,24.0,24.0,0.0,0.0,Yes,16,8,Yes,Yes,Not Started,SIWANOY PL,PELHAM,NY,10803,11/02/2023,,,SIWANOY SCHOOL,,,,,13.47,,,,,,,
2023-2025,PENN YAN CENTRAL SCHOOL,PENN YAN ACADEMY,Yates,Public School,680601060001,www.pycsd.org,106.0,0.0,106.0,0.0,Yes,91,15,Yes,Yes,Ongoing,COURT ST,PENN,NY,14527,02/27/2025,,,PENN YAN ACADEMY,,216.0,419.0,0.5155131264916468,9.07,0.0,0.00954653937947494,0.007159904534606206,0.026252983293556086,0.9284009546539379,0.002386634844868735,0.026252983293556086
2023-2025,PENN YAN CENTRAL SCHOOL,PENN YAN ELEM SCHOOL,Yates,Public School,680601060005,www.pycsd.org,150.0,0.0,150.0,0.0,Yes,149,1,Yes,Yes,Ongoing,ONE SCHOOL DR,PENN,NY,14527,02/27/2025,,,PENN YAN  SCHOOL,,322.0,527.0,0.6110056925996205,7.82,0.0,0.003795066413662239,0.0018975332068311196,0.051233396584440226,0.8937381404174574,0.0,0.04933586337760911
2023-2025,PENN YAN CENTRAL SCHOOL,PENN YAN MIDDLE SCHOOL,Yates,Public School,680601060002,www.pycsd.org,55.0,0.0,55.0,0.0,Yes,47,8,Yes,Yes,Ongoing,515 LIBERTY ST,PENN YAN,NY,14527,02/27/2025,,,PENN YAN MIDDLE SCHOOL,,183.0,305.0,0.6,8.0,0.0,0.003278688524590164,0.003278688524590164,0.022950819672131147,0.9573770491803278,0.0,0.013114754098360656
2023-2025,PERRY CENTRAL SCHOOL,PERRY HIGH SCHOOL,Wyoming,Public School,671201060002,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3031/PCSD/5454378/2023L-184.1_Perry_High_School_Lead_in_Drinking_Water_Report__1_.pdf,25.0,0.0,0.0,25.0,Yes,25,0,Yes,,,33 WATKINS AVE,PERRY,NY,14530,03/25/2025,,,PERRY HIGH SCHOOL,,161.0,341.0,0.47214076246334313,7.58,0.0,0.002932551319648094,0.005865102639296188,0.06744868035190615,0.8709677419354839,0.002932551319648094,0.03812316715542522
2023-2025,PERRY CENTRAL SCHOOL,PERRY PreK-8 SCHOOL,Wyoming,Public School,671201060001,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3031/PCSD/5454377/2023L-184.2_Perry_Elementary_School_Lead_in_Drinking_Water_Report__1_.pdf,57.0,0.0,0.0,57.0,Yes,56,1,Yes,Yes,Complete,50 OLIN AVE.,PERRY,NY,14530,03/25/2025,,,PERRY PreK8 SCHOOL,,162.0,415.0,0.39036144578313253,8.13,0.0,0.021686746987951807,0.03614457831325301,0.033734939759036145,0.8987951807228916,0.0024096385542168677,0.007228915662650603
2023-2025,PERU CENTRAL SCHOOL,PERU HIGH SCHOOL,Clinton,Public School,091101060005,www.perucsd.org,58.0,0.0,58.0,0.0,Yes,57,1,Yes,Yes,Complete,17 SCHOOL ST,PERU,NY,12972,08/07/2024,,,PERU HIGH SCHOOL,,217.0,545.0,0.3981651376146789,10.19,0.007339449541284404,0.009174311926605505,0.011009174311926606,0.014678899082568808,0.9174311926605505,0.0,0.03486238532110092
2023-2025,PERU CENTRAL SCHOOL,PERU PRIMARY SCHOOL,Clinton,Public School,091101060004,www.perucsd.org,32.0,0.0,32.0,0.0,Yes,30,2,Yes,Yes,Complete,116 PLEASANT ST,PERU,NY,12972,08/07/2024,,,PERU  SCHOOL,,406.0,829.0,0.4897466827503016,10.46,0.0024125452352231603,0.0036188178528347406,0.006031363088057901,0.027744270205066344,0.9227985524728589,0.0,0.03739445114595899
2023-2025,PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL,MIDLAKES ELEMENTARY SCHOOL,Ontario,Public School,431301060003,www.midlakes.org,170.0,,,170.0,Yes,169,1,Yes,Yes,Complete,1510 STATE ROUTE 488,CLIFTON SPRINGS,NY,14432,08/05/2025,,,MIDLAKES ELEMENTARY SCHOOL,,355.0,760.0,0.46710526315789475,9.38,0.0,0.0,0.006578947368421052,0.05789473684210526,0.9210526315789473,0.0,0.014473684210526316
2023-2025,PINE PLAINS CENTRAL SCHOOL DISTRICT,COLD SPRING ES,Dutchess,Public School,131301040003,https://www.ppcsd.org/departments/facilities/required-notices,10.0,10.0,,,Yes,9,1,Yes,Yes,Complete,358 HOMAN RD,STANDFORDVILLE,NY,12581,02/23/2024,,,COLD SPRING,,31.0,153.0,0.20261437908496732,9.38,0.0,0.006535947712418301,0.006535947712418301,0.16993464052287582,0.7712418300653595,0.0,0.0457516339869281
2023-2025,PINE PLAINS CENTRAL SCHOOL DISTRICT,SEYMOUR SMITH ES,Dutchess,Public School,131301040001,https://www.ppcsd.org/departments/facilities/required-notices,11.0,11.0,,,Yes,9,2,Yes,Yes,Complete,41 ACADEMY ST,PINE PLAINS,NY,12567,02/23/2024,,,SEYMOUR SMITH,,92.0,203.0,0.45320197044334976,8.75,0.0,0.0049261083743842365,0.0,0.1477832512315271,0.7586206896551724,0.0,0.08866995073891626
2023-2025,PINE PLAINS CENTRAL SCHOOL DISTRICT,STISSING MOUNTAIN MIDDLE SCHOOL,Dutchess,Public School,131301040004,https://www.ppcsd.org/departments/facilities/required-notices,5.0,5.0,,,Yes,5,0,Yes,Yes,Complete,2829 CHURCH ST,PINE PLAINS,NY,12567,02/23/2024,,,STISSING MOUNTAIN MIDDLE SCHOOL,,163.0,446.0,0.3654708520179372,8.18,0.0,0.004484304932735426,0.002242152466367713,0.14798206278026907,0.7488789237668162,0.0,0.09641255605381166
2023-2025,PINE PLAINS CENTRAL SCHOOL DISTRICT,STISSING SHS,Dutchess,Public School,131301040002,https://www.ppcsd.org/departments/facilities/required-notices,30.0,30.0,,,Yes,21,9,Yes,Yes,Complete,2829 CHURCH ST,PINE PLAINS,NY,12567,02/23/2024,,,STISSING,,163.0,446.0,0.3654708520179372,8.18,0.0,0.004484304932735426,0.002242152466367713,0.14798206278026907,0.7488789237668162,0.0,0.09641255605381166
2023-2025,PITTSFORD CENTRAL SCHOOL,ALLEN CREEK SCHOOL,Monroe,Public School,261401060001,pittsfordschools.org,31.0,0.0,0.0,31.0,No,25,6,Yes,Yes,Ongoing,3188 EAST AVE,ROCHESTER,NY,14618,07/30/2025,,,ALLEN CREEK SCHOOL,,,,,13.52,,,,,,,
2023-2025,PITTSFORD CENTRAL SCHOOL,BARKER ROAD MIDDLE SCHOOL,Monroe,Public School,261401060008,pittsfordschools.org,20.0,0.0,0.0,20.0,No,12,8,Yes,Yes,Ongoing,75 BARKER RD,PITTSFORD,NY,14534,07/30/2025,,,BARKER ROAD MIDDLE SCHOOL,,,,,10.75,,,,,,,
