Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,P.S. 134 - MANHATTAN,Manhattan,Public School,M134,https://www.schools.nyc.gov/schools/M134,117.0,117.0,0.0,0.0,Yes,117,0,Yes,Yes,Complete,293 EAST BROADWAY,Manhattan,NY,10002,03/08/2024,"(40.714248, -73.983854)","(40.714248, -73.983854)",PS 134 MANHATTAN,,195.0,201.0,0.9701492537313433,10.74,0.004975124378109453,0.03980099502487562,0.2885572139303483,0.6119402985074627,0.024875621890547265,0.009950248756218905,0.01990049751243781
2023-2025,NYC DOE,P.S. 134 - QUEENS,Queens,Public School,Q134,https://www.schools.nyc.gov/schools/Q134,47.0,0.0,47.0,0.0,Yes,31,16,Yes,Yes,Ongoing,203-02 109 AVENUE,QUEENS,NY,11412,06/28/2024,"(40.707535, -73.754747)","(40.707535, -73.754747)",PS 134 QUEENS,,282.0,327.0,0.8623853211009175,12.12,0.05504587155963303,0.1712538226299694,0.4709480122324159,0.2599388379204893,0.012232415902140673,0.021406727828746176,0.009174311926605505
2023-2025,NYC DOE,P.S. 134 MINISCHOOL - BROOKLYN,Kings,Public School,K839,https://www.schools.nyc.gov/schools/K134,13.0,13.0,0.0,0.0,Yes,13,0,Yes,Yes,Complete,4001 18 AVENUE,Brooklyn,NY,11218,12/01/2023,"(40.632145, -73.97318)","(40.632145, -73.97318)",PS 134 MINISCHOOL BROOKLYN,,467.0,519.0,0.8998073217726397,12.75,0.017341040462427744,0.4258188824662813,0.038535645472061654,0.07321772639691715,0.4277456647398844,0.0019267822736030828,0.015414258188824663
2023-2025,NYC DOE,P.S. 135 - BROOKLYN,Kings,Public School,K135,https://www.schools.nyc.gov/schools/K135,41.0,41.0,0.0,0.0,Yes,41,0,Yes,Yes,Complete,684 LINDEN BOULEVARD,Brooklyn,NY,11203,05/31/2024,"(40.653093, -73.932949)","(40.653093, -73.932949)",PS 135 BROOKLYN,,291.0,318.0,0.9150943396226415,14.07,0.018867924528301886,0.05660377358490566,0.7578616352201258,0.07232704402515723,0.07232704402515723,0.0031446540880503146,0.018867924528301886
2023-2025,NYC DOE,P.S. 135 - QUEENS,Queens,Public School,Q135,https://www.schools.nyc.gov/schools/Q135,160.0,0.0,160.0,0.0,Yes,160,0,Yes,Yes,Complete,207-11 89 AVENUE,QUEENS,NY,11427,12/27/2024,"(40.720864, -73.757591)","(40.720864, -73.757591)",PS 135 QUEENS,,546.0,686.0,0.7959183673469388,14.32,0.38629737609329445,0.2696793002915452,0.0597667638483965,0.21428571428571427,0.02478134110787172,0.02040816326530612,0.02478134110787172
2023-2025,NYC DOE,P.S. 135/P.S. 235 ANNEX - K,Kings,Public School,K855,https://www.schools.nyc.gov/schools/K235,49.0,0.0,49.0,0.0,Yes,44,5,Yes,Yes,Ongoing,5811 DITMAS AVENUE,BROOKLYN,NY,11203,03/22/2024,"(40.644094, -73.921362)","(40.644094, -73.921362)",PS 135/PS 235 ANNEX K,,291.0,318.0,0.9150943396226415,14.07,0.018867924528301886,0.05660377358490566,0.7578616352201258,0.07232704402515723,0.07232704402515723,0.0031446540880503146,0.018867924528301886
2023-2025,NYC DOE,P.S. 136 - QUEENS,Queens,Public School,Q136,https://www.schools.nyc.gov/schools/Q136,59.0,0.0,59.0,0.0,Yes,59,0,Yes,Yes,Complete,201-15 115 AVENUE,QUEENS,NY,11412,12/13/2024,"(40.69894, -73.752694)","(40.69894, -73.752694)",PS 136 QUEENS,,328.0,364.0,0.9010989010989011,12.63,0.01098901098901099,0.06043956043956044,0.7857142857142857,0.1043956043956044,0.0,0.03021978021978022,0.008241758241758242
2023-2025,NYC DOE,P.S. 137 - BROOKLYN,Kings,Public School,K137,https://www.schools.nyc.gov/schools/K137,54.0,0.0,54.0,0.0,Yes,54,0,Yes,Yes,Complete,121 SARATOGA AVENUE,BROOKLYN,NY,11233,02/07/2025,"(40.682248, -73.916641)","(40.682248, -73.916641)",PS 137 BROOKLYN,,123.0,150.0,0.82,8.11,0.013333333333333334,0.0,0.6866666666666666,0.22,0.02666666666666667,0.0,0.05333333333333334
2023-2025,NYC DOE,P.S. 137 - MANHATTAN,Manhattan,Public School,M137,https://www.schools.nyc.gov/schools/M184,98.0,0.0,98.0,0.0,Yes,98,0,Yes,Yes,Complete,327 CHERRY STREET,MANHATTAN,NY,10002,07/11/2025,"(40.711125, -73.985438)","(40.711125, -73.985438)",PS 137 MANHATTAN,,61.0,362.0,0.1685082872928177,15.08,0.0,0.17679558011049723,0.03314917127071823,0.1464088397790055,0.580110497237569,0.0,0.06353591160220995
2023-2025,NYC DOE,P.S. 138 - BRONX,Bronx,Public School,X138,https://www.schools.nyc.gov/schools/X138,94.0,0.0,0.0,94.0,Yes,94,0,Yes,,,2060 LAFAYETTE AVENUE,Bronx,NY,10473,02/07/2025,"(40.822288, -73.853157)","(40.822288, -73.853157)",PS 138 BRONX,,407.0,458.0,0.888646288209607,15.95,0.010917030567685589,0.06550218340611354,0.2314410480349345,0.665938864628821,0.010917030567685589,0.010917030567685589,0.004366812227074236
2023-2025,NYC DOE,P.S. 138 - BROOKLYN,Kings,Public School,K138,https://www.schools.nyc.gov/schools/K138,45.0,0.0,45.0,0.0,Yes,45,0,Yes,,,760 PROSPECT PLACE,BROOKLYN,NY,11216,06/28/2024,"(40.673943, -73.951559)","(40.673943, -73.951559)",PS 138 BROOKLYN,,356.0,408.0,0.8725490196078431,9.93,0.0,0.014705882352941176,0.6544117647058824,0.19362745098039216,0.11764705882352941,0.0024509803921568627,0.01715686274509804
2023-2025,NYC DOE,P.S. 138 - QUEENS,Queens,Public School,Q138,https://www.schools.nyc.gov/schools/Q138,160.0,0.0,160.0,0.0,Yes,158,2,Yes,Yes,Ongoing,251-11 WELLER AVENUE,QUEENS,NY,11422,07/12/2024,"(40.659876, -73.734342)","(40.659876, -73.734342)",PS 138 QUEENS,,503.0,626.0,0.8035143769968051,14.37,0.023961661341853034,0.04153354632587859,0.6741214057507987,0.20447284345047922,0.02875399361022364,0.003194888178913738,0.023961661341853034
2023-2025,NYC DOE,P.S. 138 ANNEX (OLD M047 AX) - M,Manhattan,Public School,M844,https://www.schools.nyc.gov/schools/M721,29.0,0.0,0.0,29.0,Yes,19,10,Yes,Yes,Ongoing,400 First Avenue,Manhattan,NY,10010,04/04/2025,"(40.736999, -73.978085)","(40.736999, -73.978085)",PS 138 ANNEX M,,652.0,693.0,0.9408369408369408,5.46,0.004329004329004329,0.030303030303030304,0.2727272727272727,0.6305916305916306,0.05194805194805195,0.001443001443001443,0.008658008658008658
2023-2025,NYC DOE,P.S. 138 AX (CROWN HGTS ECC 1)-K,Kings,Public School,K867,No Website,15.0,0.0,0.0,15.0,Yes,15,0,Yes,Yes,,960 PROSPECT PLACE,Brooklyn,NY,11213,05/16/2025,"(40.67377, -73.944961)","(40.67377, -73.944961)",PS 138 AXK,,356.0,408.0,0.8725490196078431,9.93,0.0,0.014705882352941176,0.6544117647058824,0.19362745098039216,0.11764705882352941,0.0024509803921568627,0.01715686274509804
2023-2025,NYC DOE,P.S. 139 - BROOKLYN,Kings,Public School,K139,https://www.schools.nyc.gov/schools/K139,124.0,124.0,0.0,0.0,Yes,124,0,Yes,Yes,Complete,330 RUGBY ROAD,Brooklyn,NY,11226,11/03/2023,"(40.64134, -73.965862)","(40.64134, -73.965862)",PS 139 BROOKLYN,,481.0,708.0,0.6793785310734464,11.23,0.009887005649717515,0.13135593220338984,0.17231638418079095,0.4011299435028249,0.2076271186440678,0.0,0.07627118644067797
2023-2025,NYC DOE,P.S. 139 - QUEENS,Queens,Public School,Q139,https://www.schools.nyc.gov/schools/Q139,74.0,74.0,0.0,0.0,Yes,74,0,Yes,Yes,Complete,93-06 63 DRIVE,Queens,NY,11374,04/05/2024,"(40.728012, -73.862561)","(40.728012, -73.862561)",PS 139 QUEENS,,410.0,577.0,0.7105719237435009,13.02,0.008665511265164644,0.25476603119584057,0.038128249566724434,0.317157712305026,0.3535528596187175,0.005199306759098787,0.022530329289428077
2023-2025,NYC DOE,P.S. 14 - BRONX,Bronx,Public School,X014,https://www.schools.nyc.gov/schools/X014,63.0,0.0,0.0,63.0,Yes,59,4,Yes,Yes,Ongoing,3047 BRUCKNER BOULEVARD,Bronx,NY,10461,02/07/2025,"(40.835318, -73.826277)","(40.835318, -73.826277)",PS 14 BRONX,,485.0,689.0,0.7039187227866474,14.96,0.002902757619738752,0.09724238026124818,0.05079825834542816,0.6545718432510885,0.17271407837445574,0.002902757619738752,0.018867924528301886
2023-2025,NYC DOE,P.S. 14 - QUEENS,Queens,Public School,Q014,https://www.schools.nyc.gov/schools/Q014,124.0,0.0,124.0,0.0,Yes,124,0,Yes,,,107-01 OTIS AVENUE,QUEENS,NY,11368,05/03/2024,"(40.74102, -73.85457)","(40.74102, -73.85457)",PS 14 QUEENS,,953.0,1030.0,0.925242718446602,12.14,0.006796116504854369,0.024271844660194174,0.007766990291262136,0.9398058252427185,0.017475728155339806,0.0,0.003883495145631068
2023-2025,NYC DOE,P.S. 14 - STATEN ISLAND,Richmond,Public School,R014,https://www.schools.nyc.gov/schools/R078,110.0,110.0,0.0,0.0,Yes,110,0,Yes,Yes,Complete,35 Hill Street,Staten Island,NY,10304,01/12/2024,"(40.622415, -74.079228)","(40.622415, -74.079228)",PS 14 STATEN ISLAND,,162.0,442.0,0.3665158371040724,13.0,0.0,0.05429864253393665,0.013574660633484163,0.21266968325791855,0.7058823529411765,0.0022624434389140274,0.011312217194570135
2023-2025,NYC DOE,P.S. 140 - BRONX,Bronx,Public School,X140,https://www.schools.nyc.gov/schools/X140,104.0,0.0,104.0,0.0,Yes,104,0,Yes,,,916 EAGLE AVENUE,BRONX,NY,10456,06/28/2024,"(40.823318, -73.907489)","(40.823318, -73.907489)",PS 140 BRONX,,343.0,364.0,0.9423076923076923,13.4,0.005494505494505495,0.0,0.29945054945054944,0.6593406593406593,0.027472527472527472,0.0027472527472527475,0.005494505494505495
