Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,BROOKLYN TECH HS - K,Kings,Public School,K430,https://www.schools.nyc.gov/schools/K430,161.0,0.0,0.0,161.0,Yes,142,19,Yes,Yes,Ongoing,29 FT GREENE PLACE,Brooklyn,NY,11217,05/02/2025,"(40.688896, -73.976435)","(40.688896, -73.976435)",BROOKLYN TECH  K,,426.0,485.0,0.8783505154639175,13.22,0.006185567010309278,0.04329896907216495,0.5938144329896907,0.3237113402061856,0.016494845360824743,0.004123711340206186,0.012371134020618556
2023-2025,NYC DOE,BROWNSVILLE DIPLOMA PLUS HS - K,Kings,Public School,K907,https://www.schools.nyc.gov/schools/K568,23.0,23.0,0.0,0.0,Yes,23,0,Yes,Yes,Complete,1150 East New York Avenue,Brooklyn,NY,11212,04/05/2024,"(40.666251, -73.923881)","(40.666251, -73.923881)",BROWNSVILLE DIPLOMA PLUS  K,,,,,14.31,,,,,,,
2023-2025,NYC DOE,BRYANT AF - QUEENS,Queens,Public School,Q446,https://www.schools.nyc.gov/schools/Q445,7.0,0.0,0.0,7.0,Yes,7,0,Yes,Yes,,48-10 31 Avenue,Queens,NY,11103,04/04/2025,"(40.757072, -73.911165)","(40.757072, -73.911165)",BRYANT AF QUEENS,,1727.0,1959.0,0.8815722307299643,13.56,0.00816743236345074,0.1919346605410924,0.06533945890760592,0.6237876467585503,0.09698825931597754,0.00408371618172537,0.009698825931597753
2023-2025,NYC DOE,BUSHWICK EDUCATIONAL CAMPUS - K,Kings,Public School,K480,https://www.schools.nyc.gov/schools/K168,78.0,78.0,0.0,0.0,Yes,78,0,Yes,Yes,Complete,400 IRVING AVENUE,Brooklyn,NY,11237,07/26/2024,"(40.696457, -73.911751)","(40.696457, -73.911751)",BUSHWICK EDUCATIONAL CAMPUS K,,,,,16.43,,,,,,,
2023-2025,NYC DOE,BX CHARTER SCH FOR BETTER LRNG - X,Bronx,Public School,X937,https://www.schools.nyc.gov/schools/X718,16.0,0.0,0.0,16.0,Yes,15,1,Yes,Yes,Ongoing,3740 BAYCHESTER AVENUE,Bronx,NY,10466,04/04/2025,"(40.884371, -73.839288)","(40.884371, -73.839288)",BX CHARTER SCH FOR BETTER LRNG X,,,,,,,,,,,,
2023-2025,NYC DOE,CAMBRIA HEIGHTS ACADEMY - QUEENS,Queens,Public School,Q799,https://www.schools.nyc.gov/schools/Q326,26.0,0.0,0.0,26.0,Yes,24,2,Yes,Yes,Ongoing,188-04 91 Avenue,Queens,NY,11423,04/04/2025,"(40.711857, -73.771196)","(40.711857, -73.771196)",CAMBRIA HEIGHTS ACADEMY QUEENS,,282.0,362.0,0.7790055248618785,11.41,0.04696132596685083,0.0856353591160221,0.6270718232044199,0.22099447513812154,0.0055248618784530384,0.0055248618784530384,0.008287292817679558
2023-2025,NYC DOE,CAMPUS MAGNET HS (JACKSON) - Q,Queens,Public School,Q490,https://www.schools.nyc.gov/schools/Q498,57.0,0.0,0.0,57.0,Yes,53,4,Yes,Yes,Ongoing,207- 01 116TH  AVENUE,Queens,NY,11411,07/11/2025,"(40.698786, -73.74633)","(40.698786, -73.74633)",CAMPUS MAGNET  Q,,365.0,556.0,0.6564748201438849,15.89,0.007194244604316547,0.08633093525179857,0.00539568345323741,0.5377697841726619,0.32014388489208634,0.0,0.04316546762589928
2023-2025,NYC DOE,CANARSIE HS - K,Kings,Public School,K500,https://www.schools.nyc.gov/schools/K633,91.0,0.0,0.0,91.0,Yes,74,17,Yes,Yes,Ongoing,1600 ROCKAWAY PARKWAY,Brooklyn,NY,11236,02/21/2025,"(40.640543, -73.898601)","(40.640543, -73.898601)",CANARSIE  K,,758.0,936.0,0.8098290598290598,20.72,0.01282051282051282,0.005341880341880342,0.9038461538461539,0.056623931623931624,0.005341880341880342,0.004273504273504274,0.011752136752136752
2023-2025,NYC DOE,CARDOZO AF - QUEENS,Queens,Public School,Q416,https://www.schools.nyc.gov/schools/Q415,2.0,0.0,2.0,0.0,Yes,2,0,Yes,,,57-00 223RD STREET,QUEENS,NY,11364,05/03/2024,"(40.752343, -73.757271)","(40.752343, -73.757271)",CARDOZO AF QUEENS,,2171.0,2997.0,0.724391057724391,16.28,0.012679346012679346,0.43043043043043044,0.2012012012012012,0.2475809142475809,0.07607607607607608,0.004671338004671338,0.02702702702702703
2023-2025,NYC DOE,CENT HEADQTRS (131 LIV) - K,Kings,Public School,K802,https://www.schools.nyc.gov/schools/K960,16.0,16.0,0.0,0.0,Yes,16,0,Yes,,,131 LIVINGSTON STREET,Brooklyn,NY,11201,12/01/2023,"(40.691075, -73.988475)","(40.691075, -73.988475)",CENT HEADQTRS K,,729.0,809.0,0.9011124845488258,17.22,0.011124845488257108,0.007416563658838072,0.8566131025957973,0.08899876390605686,0.009888751545117428,0.006180469715698393,0.019777503090234856
