Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,INDIAN RIVER CENTRAL SCHOOL,THERESA PRIMARY SCHOOL,Jefferson,Public School,220301060004,https://www.ircsd.org/en-US,35.0,0.0,35.0,0.0,Yes,34,1,Yes,Yes,Ongoing,"125 BRIDGE ST, PO BOX 620",THERESA,NY,13691,02/25/2025,,,THERESA  SCHOOL,,107.0,193.0,0.5544041450777202,11.48,0.015544041450777202,0.0,0.025906735751295335,0.08290155440414508,0.8549222797927462,0.0,0.02072538860103627
2023-2025,IRVINGTON UNION FREE SCHOOL,DOWS LANE (K-3) SCHOOL,Westchester,Public School,660402020004,https://www.irvingtonschools.org/Page/5079,8.0,8.0,8.0,,Yes,8,0,Yes,,,DOWS LANE,IRVINGTON,NY,10533,12/19/2024,,,DOWS LANESCHOOL,,33.0,514.0,0.06420233463035019,57.11,0.0,0.06809338521400778,0.023346303501945526,0.13813229571984437,0.6809338521400778,0.0,0.08949416342412451
2023-2025,IRVINGTON UNION FREE SCHOOL,IRVINGTON  S H S,Westchester,Public School,660402020001,https://www.irvingtonschools.org/Page/5079,30.0,30.0,30.0,,Yes,30,0,Yes,,,N BROADWAY,IRVINGTON,NY,10533,12/19/2024,,,IRVINGTON S,,68.0,580.0,0.11724137931034483,10.11,0.0017241379310344827,0.11551724137931034,0.056896551724137934,0.10689655172413794,0.6672413793103448,0.0,0.05
2023-2025,IRVINGTON UNION FREE SCHOOL,IRVINGTON MIDDLE SCHOOL,Westchester,Public School,660402020003,https://www.irvingtonschools.org/Page/5079,30.0,30.0,30.0,,Yes,30,0,Yes,,,40 N. BROADWAY,IRVINGTON,NY,10533,12/19/2024,,,IRVINGTON MIDDLE SCHOOL,,35.0,408.0,0.0857843137254902,9.19,0.0,0.09313725490196079,0.03431372549019608,0.125,0.6740196078431373,0.004901960784313725,0.06862745098039216
2023-2025,IRVINGTON UNION FREE SCHOOL,MAIN STREET SCHOOL,Westchester,Public School,660402020002,https://www.irvingtonschools.org/Page/5079,9.0,9.0,9.0,,Yes,9,0,Yes,,,101 MAIN STREET,IRVINGTON,NY,10533,12/19/2024,,,MAIN STREET SCHOOL,,23.0,269.0,0.08550185873605948,14.94,0.0,0.09665427509293681,0.01858736059479554,0.14869888475836432,0.6728624535315985,0.0,0.06319702602230483
2023-2025,ISLAND PARK UNION FREE SCHOOL,FRANCIS X HEGARTY ELEM SCHOOL,Nassau,Public School,280231020003,https://www.ips.k12.ny.us/,10.0,0.0,10.0,0.0,Yes,7,3,Yes,Yes,Ongoing,100 RADCLIFFE RD,ISLAND PARK,NY,11558,07/29/2024,,,FRANCIS HEGARTY  SCHOOL,,172.0,458.0,0.37554585152838427,12.21,0.0,0.026200873362445413,0.03056768558951965,0.388646288209607,0.5109170305676856,0.0,0.043668122270742356
2023-2025,ISLAND PARK UNION FREE SCHOOL,LINCOLN ORENS SCHOOL,Nassau,Public School,280231020001,https://www.ips.k12.ny.us/,31.0,0.0,31.0,0.0,Yes,22,9,Yes,Yes,Ongoing,150 TRAFALGAR BLVD,ISLAND PARK,NY,11558,07/29/2024,,,LINCOLN ORENS SCHOOL,,108.0,259.0,0.416988416988417,7.06,0.0,0.05791505791505792,0.04247104247104247,0.36293436293436293,0.5173745173745173,0.0,0.019305019305019305
2023-2025,ISLIP UNION FREE SCHOOL,COMMACK ROAD ELEM SCHOOL,Suffolk,Public School,580502020002,https://islipufsd.org/our_district/facilities,24.0,0.0,24.0,0.0,Yes,23,1,Yes,Yes,Ongoing,COMMACK RD,ISLIP,NY,11751,04/30/2024,,,COMMACK ROAD  SCHOOL,,,,,10.99,,,,,,,
2023-2025,ISLIP UNION FREE SCHOOL,ISLIP H S,Suffolk,Public School,580502020001,https://islipufsd.org/our_district/facilities,37.0,0.0,46.0,0.0,Yes,37,0,Yes,Yes,Ongoing,2508 UNION BLVD,ISLIP,NY,11751,07/28/2025,,,ISLIP S,,347.0,891.0,0.3894500561167228,9.05,0.003367003367003367,0.04713804713804714,0.06958473625140292,0.36924803591470257,0.48597081930415265,0.0,0.024691358024691357
2023-2025,ISLIP UNION FREE SCHOOL,ISLIP J H S,Suffolk,Public School,580502020004,https://islipufsd.org/our_district/facilities,60.0,0.0,62.0,0.0,Yes,59,1,Yes,Yes,Ongoing,211 MAIN ST,ISLIP,NY,11751,09/03/2024,,,ISLIP S,,256.0,615.0,0.416260162601626,9.86,0.0,0.05040650406504065,0.056910569105691054,0.367479674796748,0.49105691056910566,0.0,0.03414634146341464
2023-2025,ISLIP UNION FREE SCHOOL,SHERWOOD ELEM SCHOOL,Suffolk,Public School,580502020005,https://islipufsd.org/our_district/facilities,44.0,0.0,44.0,0.0,Yes,32,12,Yes,Yes,Ongoing,SMITH AVE,ISLIP,NY,11751,09/03/2024,,,SHERWOOD  SCHOOL,,117.0,351.0,0.3333333333333333,10.34,0.002849002849002849,0.042735042735042736,0.037037037037037035,0.33903133903133903,0.5299145299145299,0.002849002849002849,0.045584045584045586
2023-2025,ISLIP UNION FREE SCHOOL,WING ELEMENTARY SCHOOL,Suffolk,Public School,580502020006,https://islipufsd.org/our_district/facilities,15.0,0.0,16.0,0.0,Yes,15,0,Yes,Yes,Complete,WINGAN HAUPPAUGE RD,ISLIP,NY,11751,04/15/2024,,,WING ELEMENTARY SCHOOL,,127.0,383.0,0.33159268929503916,11.14,0.0,0.044386422976501305,0.04177545691906005,0.3472584856396867,0.5300261096605744,0.005221932114882507,0.031331592689295036
2023-2025,JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE ELEM SCHOOL,Onondaga,Public School,420411060002,https://www.jamesvilledewitt.org/departments-and-services/facilities/#lead,68.0,0.0,0.0,68.0,Yes,58,10,Yes,Yes,Not Started,E SENECA TPKE,JAMESVILLE,NY,13078,07/07/2025,,,JAMESVILLE  SCHOOL,,89.0,330.0,0.2696969696969697,18.37,0.0,0.18181818181818182,0.030303030303030304,0.01818181818181818,0.7090909090909091,0.006060606060606061,0.05454545454545454
2023-2025,JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE-DEWITT H S,Onondaga,Public School,420411060006,https://www.jamesvilledewitt.org/departments-and-services/facilities/#lead,62.0,0.0,0.0,62.0,Yes,57,5,Yes,Yes,Not Started,EDINGER DR,DEWITT,NY,13214,07/07/2025,,,JAMESVILLEDEWITT S,,218.0,843.0,0.2586002372479241,11.81,0.004744958481613286,0.09015421115065243,0.08422301304863583,0.036773428232502965,0.7188612099644128,0.0011862396204033216,0.06405693950177936
2023-2025,JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE-DEWITT MID SCH,Onondaga,Public School,420411060005,https://www.jamesvilledewitt.org/departments-and-services/facilities/#lead,54.0,0.0,0.0,54.0,Yes,50,4,Yes,Yes,Not Started,RANDALL RD,JAMESVILLE,NY,13078,07/07/2025,,,JAMESVILLEDEWITT MID SCH,,217.0,714.0,0.30392156862745096,9.38,0.004201680672268907,0.08823529411764706,0.06022408963585434,0.04481792717086835,0.7142857142857143,0.0,0.08823529411764706
2023-2025,JAMESVILLE-DEWITT CENTRAL SCHOOL,MOSES DEWITT ELEM SCHOOL,Onondaga,Public School,420411060003,https://www.jamesvilledewitt.org/departments-and-services/facilities/#lead,43.0,0.0,0.0,43.0,Yes,26,17,Yes,Yes,Not Started,JAMESVILLE RD,DEWITT,NY,13214,07/07/2025,,,MOSES DEWITT  SCHOOL,,82.0,246.0,0.3333333333333333,18.02,0.0,0.08130081300813008,0.06504065040650407,0.06910569105691057,0.6788617886178862,0.0040650406504065045,0.1016260162601626
