Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,CANASTOTA CENTRAL SCHOOL,SOUTH SIDE ELEM SCHOOL,Madison,Public School,250901060006,www.canastotacsd.org,24.0,0.0,24.0,0.0,Yes,23,1,Yes,Yes,Complete,200 HIGH ST,CANASTOTA,NY,13032,12/18/2024,,,SOUTH SIDE  SCHOOL,,87.0,175.0,0.49714285714285716,8.18,0.0,0.0,0.005714285714285714,0.005714285714285714,0.92,0.0,0.06857142857142857
2023-2025,CANDOR CENTRAL SCHOOL,CANDOR J S H S,Tioga,Public School,600301040002,www.candorcs.org,81.0,0.0,75.0,0.0,Yes,79,2,Yes,,Ongoing,CANDOR J S H S,CANDOR,NY,13743,06/26/2024,,,CANDOR S,,213.0,412.0,0.5169902912621359,11.78,0.0024271844660194173,0.0,0.009708737864077669,0.01699029126213592,0.9538834951456311,0.0,0.01699029126213592
2023-2025,CANTON CENTRAL SCHOOL,F S BANFORD ELEM SCHOOL,St.Lawrence,Public School,510201060001,https://www.ccsdk12.org/,73.0,73.0,73.0,73.0,No,61,12,Yes,Yes,Ongoing,99 STATE ST,CANTON,NY,13617,05/13/2025,,,F BANFORD  SCHOOL,,149.0,408.0,0.36519607843137253,15.6,0.0,0.0196078431372549,0.0024509803921568627,0.02696078431372549,0.9191176470588235,0.0,0.031862745098039214
2023-2025,CANTON CENTRAL SCHOOL,H C WILLIAMS S H S,St.Lawrence,Public School,510201060003,https://www.ccsdk12.org/,41.0,41.0,41.0,41.0,Yes,39,2,Yes,Yes,Ongoing,99 STATE ST,CANTON,NY,13617,05/13/2025,,,H WILLIAMS S,,150.0,340.0,0.4411764705882353,8.87,0.0,0.014705882352941176,0.0,0.0058823529411764705,0.9529411764705882,0.0,0.026470588235294117
2023-2025,CANTON CENTRAL SCHOOL,JM MCKENNEY MIDDLE (4-8) SCHOOL,St.Lawrence,Public School,510201060004,https://www.ccsdk12.org/,31.0,31.0,31.0,31.0,No,28,3,Yes,Yes,Ongoing,99 STATE ST,CANTON,NY,13617,05/13/2025,,,JM MCKENNEY MIDDLESCHOOL,,149.0,408.0,0.36519607843137253,15.6,0.0,0.0196078431372549,0.0024509803921568627,0.02696078431372549,0.9191176470588235,0.0,0.031862745098039214
2023-2025,CARLE PLACE UNION FREE SCHOOL,CARLE PLACE J S H S,Nassau,Public School,280411030003,https://www.cps.k12.ny.us/,35.0,,,35.0,Yes,32,3,Yes,Yes,Ongoing,168 CHERRY LN,CARLE PLACE,NY,11514,07/10/2025,,,CARLE PLACE S,,157.0,610.0,0.2573770491803279,8.37,0.0,0.09836065573770492,0.018032786885245903,0.23442622950819672,0.639344262295082,0.001639344262295082,0.006557377049180328
2023-2025,CARLE PLACE UNION FREE SCHOOL,CHERRY LANE SCHOOL,Nassau,Public School,280411030001,https://www.cps.k12.ny.us/,15.0,,,15.0,Yes,15,0,Yes,,,475 ROSLYN AVE,CARLE PLACE,NY,11514,06/24/2025,,,CHERRY LANE SCHOOL,,59.0,284.0,0.20774647887323944,12.97,0.0,0.16549295774647887,0.01056338028169014,0.29577464788732394,0.4894366197183099,0.0035211267605633804,0.035211267605633804
2023-2025,CARLE PLACE UNION FREE SCHOOL,RUSHMORE AVENUE SCHOOL,Nassau,Public School,280411030002,https://www.cps.k12.ny.us/,19.0,,,19.0,Yes,19,0,Yes,,,251 RUSHMORE AVE,CARLE PLACE,NY,11514,06/24/2025,,,RUSHMORE AVENUE SCHOOL,,83.0,404.0,0.20544554455445543,9.08,0.0,0.12871287128712872,0.022277227722772276,0.2623762376237624,0.551980198019802,0.0024752475247524753,0.03217821782178218
2023-2025,CARTHAGE CENTRAL SCHOOL,BLACK RIVER SCHOOL,Jefferson,Public School,222201060002,https://www.carthagecsd.org/en-US,95.0,0.0,95.0,0.0,Yes,95,0,Yes,Yes,Complete,160 LERAY ST,BLACK RIVER,NY,13612,06/25/2024,,,BLACK RIVER SCHOOL,,188.0,546.0,0.3443223443223443,11.56,0.0,0.018315018315018316,0.08058608058608059,0.19230769230769232,0.6410256410256411,0.01098901098901099,0.056776556776556776
2023-2025,CARTHAGE CENTRAL SCHOOL,CARTHAGE CENTRAL HIGH SCHOOL,Jefferson,Public School,222201060001,https://www.carthagecsd.org/en-US,70.0,0.0,70.0,0.0,Yes,64,6,Yes,Yes,Ongoing,36500 NYS RTE 26,CARTHAGE,NY,13619,03/25/2024,,,CARTHAGE CENTRAL HIGH SCHOOL,,248.0,404.0,0.6138613861386139,9.72,0.0024752475247524753,0.009900990099009901,0.03217821782178218,0.11633663366336634,0.7722772277227723,0.0,0.06683168316831684
