Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,GUILDERLAND CENTRAL SCHOOL DISTRICT,PINE BUSH ES,Albany,Public School,010802060009,https://www.guilderlandschools.org/,58.0,3.0,55.0,,No,57,1,Yes,Yes,Ongoing,3437 CARMAN RD,SCHENECTADY,NY,12303,11/21/2024,,,PINE BUSH,,74.0,477.0,0.15513626834381553,11.64,0.0020964360587002098,0.11530398322851153,0.027253668763102725,0.07756813417190776,0.7232704402515723,0.0,0.05450733752620545
2023-2025,GUILDERLAND CENTRAL SCHOOL DISTRICT,WESTMERE ES,Albany,Public School,010802060004,https://www.guilderlandschools.org/,57.0,5.0,52.0,,No,56,1,Yes,Yes,Ongoing,6270 JOHNSTON RD,ALBANY,NY,12203,10/29/2024,,,WESTMERE,,132.0,536.0,0.2462686567164179,10.83,0.0037313432835820895,0.1417910447761194,0.08022388059701492,0.11940298507462686,0.5914179104477612,0.005597014925373134,0.05783582089552239
2023-2025,HALDANE CENTRAL SCHOOL DISTRICT,HALDANE ELEMENTARY/MIDDLE SCHOOL,Putnam,Public School,480401040001,haldaneschool.org,69.0,69.0,0.0,0.0,Yes,61,8,Yes,Yes,Ongoing,15 CRAIGSIDE DRIVE,COLD SPRING,NY,10516,06/16/2023,,,HALDANE ELEMENTARY/MIDDLE SCHOOL,,46.0,302.0,0.152317880794702,9.39,0.0,0.023178807947019868,0.009933774834437087,0.11589403973509933,0.7980132450331126,0.0,0.052980132450331126
2023-2025,HALDANE CENTRAL SCHOOL DISTRICT,HALDANE HIGH SCHOOL,Putnam,Public School,480401040002,https://www.haldaneschool.org/,34.0,34.0,0.0,0.0,Yes,31,3,Yes,Yes,Ongoing,"15 CRAIGSIDE DR, HIGH SCHOOL BUILDING",COLD SPRING,NY,10516,06/15/2023,,,HALDANE HIGH SCHOOL,,42.0,312.0,0.1346153846153846,10.76,0.0,0.041666666666666664,0.01282051282051282,0.11538461538461539,0.8141025641025641,0.003205128205128205,0.01282051282051282
2023-2025,HAMILTON CENTRAL SCHOOL,HAMILTON CENTRAL SCHOOL - JUNIOR/SENIOR HIGHSCHOOL,Madison,Public School,250701040001,https://www.hamiltoncentral.org/departments/buildings-and-grounds/index,15.0,0.0,0.0,15.0,Yes,13,2,Yes,Yes,Ongoing,W KENDRICK AVENUE,HAMILTON,NY,13346,07/01/2025,,,HAMILTON CENTRAL SCHOOL JUNIOR/SENIOR HIGHSCHOOL,,74.0,264.0,0.2803030303030303,12.42,0.0,0.01893939393939394,0.01893939393939394,0.022727272727272728,0.9128787878787878,0.0,0.026515151515151516
2023-2025,HAMMOND CENTRAL SCHOOL DISTRICT,HAMMOND CENTRAL SCHOOL,St.Lawrence,Public School,511201040001,https://www.hammondk12.org/,16.0,0.0,0.0,16.0,,15,1,Yes,Yes,Ongoing,MAIN ST,HAMMOND,NY,13646,05/29/2025,,,HAMMOND CENTRAL SCHOOL,,129.0,228.0,0.5657894736842105,8.62,0.0,0.0,0.0,0.0,0.9780701754385965,0.0,0.021929824561403508
2023-2025,HAMMONDSPORT CENTRAL SCHOOL,GLENN CURTISS MEMORIAL SCHOOL,Steuben,Public School,572901040002,www.hammondsportcsd.org,21.0,0.0,21.0,0.0,Yes,16,5,Yes,Yes,Ongoing,8272 Main St,HAMMONDSPORT,NY,14840,05/20/2024,,,GLENN CURTISS MEMORIAL SCHOOL,,101.0,204.0,0.4950980392156863,9.4,0.0,0.0,0.0,0.0196078431372549,0.9509803921568627,0.0,0.029411764705882353
2023-2025,HAMMONDSPORT CENTRAL SCHOOL,HAMMONDSPORT J S H S,Steuben,Public School,572901040004,www.hammondsportcsd.org,17.0,0.0,17.0,0.0,Yes,10,7,Yes,Yes,Ongoing,MAIN ST,HAMMONDSPORT,NY,14840,05/20/2024,,,HAMMONDSPORT S,,100.0,199.0,0.5025125628140703,8.93,0.0,0.0,0.0,0.04020100502512563,0.8944723618090452,0.0,0.06532663316582915
2023-2025,HAMPTON BAYS UNION FREE SCHOOL,HAMPTON BAYS ELEM SCHOOL,Suffolk,Public School,580905020002,https://www.hbschools.us/,39.0,0.0,39.0,0.0,Yes,39,0,Yes,Yes,Ongoing,72 PONQUOGUE AVE,HAMPTON BAYS,NY,11946,11/22/2024,,,HAMPTON BAYS  SCHOOL,,407.0,665.0,0.6120300751879699,10.94,0.0015037593984962407,0.006015037593984963,0.0015037593984962407,0.675187969924812,0.3112781954887218,0.0015037593984962407,0.0030075187969924814
2023-2025,HAMPTON BAYS UNION FREE SCHOOL,HAMPTON BAYS HIGH SCHOOL,Suffolk,Public School,580905020001,https://www.hbschools.us/,52.0,0.0,53.0,0.0,Yes,52,0,Yes,Yes,Ongoing,88 ARGONNE RD,HAMPTON BAYS,NY,11946,03/21/2025,,,HAMPTON BAYS HIGH SCHOOL,,461.0,755.0,0.6105960264900663,11.37,0.0026490066225165563,0.010596026490066225,0.003973509933774834,0.6622516556291391,0.3125827814569536,0.0,0.007947019867549669
2023-2025,HAMPTON BAYS UNION FREE SCHOOL,HAMPTON BAYS MIDDLE SCHOOL,Suffolk,Public School,580905020004,https://www.hbschools.us/,63.0,0.0,67.0,0.0,Yes,62,1,Yes,Yes,Ongoing,70 PONQUOGUE AVENUE,HAMPTON BAYS,NY,11946,11/19/2024,,,HAMPTON BAYS MIDDLE SCHOOL,,394.0,578.0,0.6816608996539792,9.92,0.0,0.010380622837370242,0.005190311418685121,0.6487889273356401,0.3235294117647059,0.0,0.012110726643598616
2023-2025,HANNIBAL CENTRAL SCHOOL,DENNIS M. KENNEY MIDDLE SCHOOLQ,Oswego,Public School,460701040001,hannibalcsd.org/Page/35,104.0,0.0,104.0,0.0,No,100,4,Yes,Yes,Complete,DENNIS M. KENNEY MIDDLE SCHOOLQ,HANNIBAL,NY,13074,05/13/2024,,,DENNIS M KENNEY MIDDLE SCHOOLQ,,,,,,,,,,,,
2023-2025,HANNIBAL CENTRAL SCHOOL,FAIRLEY SCHOOL,Oswego,Public School,460701040003,hannibalcsd.org/Page/35,120.0,0.0,120.0,0.0,No,112,8,Yes,Yes,Complete,953 AUBURN ST,HANNIBAL,NY,13074,05/13/2024,,,FAIRLEY SCHOOL,,335.0,490.0,0.6836734693877551,11.58,0.0,0.0,0.0,0.0020408163265306124,0.9979591836734694,0.0,0.0
