Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,"HS FOR MATH, SCI & ENGINEERING-M",Manhattan,Public School,M812,https://www.schools.nyc.gov/schools/M692,13.0,0.0,0.0,13.0,Yes,13,0,Yes,Yes,,240 CONVENT AVE,Manhattan,NY,10031,05/16/2025,"(40.820208, -73.950354)","(40.820208, -73.950354)",FOR MATH,,548.0,627.0,0.8740031897926634,14.32,0.0,0.0,0.0,0.9457735247208932,0.0,0.0,0.051036682615629984
2023-2025,NYC DOE,HS OF AMERICAN STUDIES - BRONX,Bronx,Public School,X905,https://www.schools.nyc.gov/schools/X696,6.0,0.0,0.0,6.0,Yes,6,0,Yes,Yes,,2925 Goulden Avenue,Bronx,NY,10468,04/18/2025,"(40.874725, -73.895543)","(40.874725, -73.895543)",OF AMERICAN STUDIES BRONX,,146.0,404.0,0.3613861386138614,14.24,0.0049504950495049506,0.22277227722772278,0.07425742574257425,0.2103960396039604,0.42326732673267325,0.009900990099009901,0.05198019801980198
2023-2025,NYC DOE,HS OF GRAPHIC COMMUNICATION ARTS-M,Manhattan,Public School,M625,https://www.schools.nyc.gov/schools/M139,90.0,0.0,90.0,0.0,Yes,90,0,Yes,Yes,Complete,439 WEST 49TH STREET,MANHATTAN,NY,10019,06/28/2024,"(40.763655, -73.990318)","(40.763655, -73.990318)",OF GRAPHIC COMMUNICATION ARTSM,,370.0,431.0,0.8584686774941995,11.24,0.002320185614849188,0.02320185614849188,0.33874709976798145,0.6032482598607889,0.025522041763341066,0.0,0.0069605568445475635
2023-2025,NYC DOE,"HS OF LAW, GOV'T & JUSTICE - X",Bronx,Public School,X460,https://www.schools.nyc.gov/schools/X505,56.0,0.0,0.0,56.0,Yes,49,7,Yes,Yes,Ongoing,244 EAST 163 STREET,Bronx,NY,10451,04/04/2025,"(40.827461, -73.919024)","(40.827461, -73.919024)",OF LAW,,296.0,329.0,0.8996960486322189,11.97,0.0,0.015197568389057751,0.2127659574468085,0.729483282674772,0.030395136778115502,0.00303951367781155,0.00911854103343465
2023-2025,NYC DOE,Hunters Point,Queens,Public School,Q375,https://www.schools.nyc.gov/schools/Q384,58.0,58.0,0.0,0.0,Yes,58,0,Yes,,,1-35 57 Avenue,Queens,NY,11101,11/17/2023,"(40.738864, -73.960836)","(40.738864, -73.960836)",Hunters Point,,281.0,389.0,0.7223650385604113,9.84,0.005141388174807198,0.10539845758354756,0.11568123393316196,0.519280205655527,0.17994858611825193,0.002570694087403599,0.07197943444730077
2023-2025,NYC DOE,HUNTERS POINT CAMPUS - QUEENS,Queens,Public School,Q404,https://www.schools.nyc.gov/schools/Q301,69.0,0.0,69.0,0.0,Yes,65,4,Yes,Yes,Ongoing,1-50 51ST AVENUE,QUEENS,NY,11101,03/22/2024,"(40.742964, -73.959183)","(40.742964, -73.959183)",HUNTERS POINT CAMPUS QUEENS,,281.0,389.0,0.7223650385604113,9.84,0.005141388174807198,0.10539845758354756,0.11568123393316196,0.519280205655527,0.17994858611825193,0.002570694087403599,0.07197943444730077
2023-2025,NYC DOE,I.S. 10 - QUEENS,Queens,Public School,Q010,https://www.schools.nyc.gov/schools/Q010,20.0,0.0,0.0,20.0,Yes,19,1,Yes,Yes,Ongoing,45-11 31st Ave,Queens,NY,11103,05/16/2025,"(40.760122, -73.911962)","(40.760122, -73.911962)",IS 10 QUEENS,,560.0,647.0,0.865533230293663,12.5,0.0061823802163833074,0.16692426584234932,0.0633693972179289,0.5826893353941267,0.15919629057187018,0.017001545595054096,0.00463678516228748
2023-2025,NYC DOE,I.S. 10 (TANDEM M200) - MANHATTAN,Manhattan,Public School,M010,https://www.schools.nyc.gov/schools/M811,54.0,0.0,54.0,0.0,Yes,54,0,Yes,Yes,Complete,2581 7th Avenue,MANHATTAN,NY,10039,07/25/2025,"(40.823988, -73.935746)","(40.823988, -73.935746)",IS 10 MANHATTAN,,126.0,258.0,0.4883720930232558,11.69,0.003875968992248062,0.4186046511627907,0.06976744186046512,0.15891472868217055,0.3023255813953488,0.003875968992248062,0.04263565891472868
2023-2025,NYC DOE,I.S. 101 - BRONX,Bronx,Public School,X101,https://www.schools.nyc.gov/schools/X010,70.0,0.0,70.0,0.0,Yes,70,0,Yes,,,2750 LAFAYETTE AVENUE,BRONX,NY,10465,06/28/2024,"(40.82708, -73.829211)","(40.82708, -73.829211)",IS 101 BRONX,,197.0,204.0,0.9656862745098039,10.02,0.004901960784313725,0.00980392156862745,0.24509803921568626,0.7303921568627451,0.00980392156862745,0.0,0.0
2023-2025,NYC DOE,I.S. 104 - MANHATTAN,Manhattan,Public School,M104,https://www.schools.nyc.gov/schools/M104,32.0,0.0,0.0,32.0,Yes,27,5,Yes,Yes,Ongoing,330 EAST  21 STREET,Manhattan,NY,10010,05/02/2025,"(40.735879, -73.981034)","(40.735879, -73.981034)",IS 104 MANHATTAN,,126.0,258.0,0.4883720930232558,11.69,0.003875968992248062,0.4186046511627907,0.06976744186046512,0.15891472868217055,0.3023255813953488,0.003875968992248062,0.04263565891472868
