Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,P.S. 167 - BROOKLYN,Kings,Public School,K167,https://www.schools.nyc.gov/schools/K532,47.0,47.0,0.0,0.0,Yes,47,0,Yes,,,1025 EASTERN PARKWAY,Brooklyn,NY,11213,08/17/2023,"(40.669557, -73.934316)","(40.669557, -73.934316)",PS 167 BROOKLYN,,238.0,643.0,0.3701399688958009,14.18,0.0015552099533437014,0.04043545878693624,0.14152410575427682,0.2223950233281493,0.432348367029549,0.0015552099533437014,0.15707620528771385
2023-2025,NYC DOE,P.S. 169 - BROOKLYN,Kings,Public School,K169,https://www.schools.nyc.gov/schools/K169,91.0,0.0,91.0,0.0,Yes,91,0,Yes,,,4305 7 AVENUE,BROOKLYN,NY,11232,05/31/2024,"(40.645825, -74.0017)","(40.645825, -74.0017)",PS 169 BROOKLYN,,803.0,834.0,0.9628297362110312,10.37,0.0035971223021582736,0.5959232613908872,0.004796163069544364,0.35731414868105515,0.027577937649880094,0.001199040767386091,0.009592326139088728
2023-2025,NYC DOE,P.S. 169 - QUEENS,Queens,Public School,Q169,https://www.schools.nyc.gov/schools/Q169,109.0,109.0,0.0,0.0,Yes,109,0,Yes,Yes,Complete,18-25 212 STREET,Queens,NY,11360,09/20/2024,"(40.782331, -73.77843)","(40.782331, -73.77843)",PS 169 QUEENS,,122.0,395.0,0.30886075949367087,15.57,0.0,0.3949367088607595,0.03291139240506329,0.2481012658227848,0.26329113924050634,0.0,0.060759493670886074
2023-2025,NYC DOE,P.S. 169 (ECF) - MANHATTAN,Manhattan,Public School,M169,https://www.schools.nyc.gov/schools/M169,54.0,0.0,54.0,0.0,Yes,52,2,Yes,Yes,Ongoing,110 EAST  88 STREET,MANHATTAN,NY,10128,06/28/2024,"(40.780798, -73.955594)","(40.780798, -73.955594)",PS 169 MANHATTAN,,333.0,354.0,0.940677966101695,4.49,0.025423728813559324,0.01977401129943503,0.3954802259887006,0.5338983050847458,0.022598870056497175,0.0,0.002824858757062147
2023-2025,NYC DOE,P.S. 17 - BROOKLYN,Kings,Public School,K017,https://www.schools.nyc.gov/schools/K017,69.0,69.0,0.0,0.0,Yes,69,0,Yes,Yes,Complete,208 NORTH  5 STREET,Brooklyn,NY,11211,02/22/2024,"(40.715268, -73.9573)","(40.715268, -73.9573)",PS 17 BROOKLYN,,173.0,202.0,0.8564356435643564,12.97,0.0,0.0049504950495049506,0.10396039603960396,0.806930693069307,0.08415841584158416,0.0,0.0
2023-2025,NYC DOE,P.S. 17 - QUEENS,Queens,Public School,Q017,https://www.schools.nyc.gov/schools/Q017,125.0,125.0,0.0,0.0,Yes,125,0,Yes,Yes,Complete,28-37 29 STREET,Queens,NY,11102,10/04/2024,"(40.768034, -73.922544)","(40.768034, -73.922544)",PS 17 QUEENS,,407.0,583.0,0.6981132075471698,14.99,0.00686106346483705,0.1097770154373928,0.0634648370497427,0.5334476843910806,0.24356775300171526,0.0,0.04288164665523156
2023-2025,NYC DOE,P.S. 170 - BROOKLYN,Kings,Public School,K170,https://www.schools.nyc.gov/schools/K170,107.0,107.0,0.0,0.0,Yes,107,0,Yes,Yes,Complete,619 72ND STREET,Brooklyn,NY,11209,01/12/2024,"(40.630373, -74.018719)","(40.630373, -74.018719)",PS 170 BROOKLYN,,238.0,643.0,0.3701399688958009,14.18,0.0015552099533437014,0.04043545878693624,0.14152410575427682,0.2223950233281493,0.432348367029549,0.0015552099533437014,0.15707620528771385
2023-2025,NYC DOE,P.S. 170 (ECC) - BRONX,Bronx,Public School,X170,https://www.schools.nyc.gov/schools/X170,67.0,67.0,0.0,0.0,Yes,67,0,Yes,Yes,Complete,1598 TOWNSEND AVENUE,Bronx,NY,10452,04/05/2024,"(40.844367, -73.913253)","(40.844367, -73.913253)",PS 170 BRONX,,137.0,148.0,0.9256756756756757,12.33,0.033783783783783786,0.006756756756756757,0.16891891891891891,0.7702702702702703,0.013513513513513514,0.0,0.006756756756756757
2023-2025,NYC DOE,P.S. 171 - MANHATTAN,Manhattan,Public School,M171,https://www.schools.nyc.gov/schools/M171,43.0,0.0,43.0,0.0,Yes,43,0,Yes,Yes,Complete,19 EAST 103 STREET,MANHATTAN,NY,10029,07/11/2025,"(40.792302, -73.951425)","(40.792302, -73.951425)",PS 171 MANHATTAN,,627.0,774.0,0.810077519379845,17.75,0.011627906976744186,0.082687338501292,0.2454780361757106,0.5762273901808785,0.04909560723514212,0.014211886304909561,0.020671834625323
2023-2025,NYC DOE,P.S. 171 - QUEENS,Queens,Public School,Q171,https://www.schools.nyc.gov/schools/Q171,69.0,0.0,69.0,0.0,Yes,69,0,Yes,Yes,Complete,14-14 29 AVENUE,QUEENS,NY,11102,11/15/2024,"(40.770926, -73.929093)","(40.770926, -73.929093)",PS 171 QUEENS,,432.0,472.0,0.9152542372881356,11.97,0.006355932203389831,0.1271186440677966,0.1673728813559322,0.5550847457627118,0.125,0.00423728813559322,0.014830508474576272
