Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,P.S. 43 - BRONX,Bronx,Public School,X043,https://www.schools.nyc.gov/schools/X043,91.0,0.0,91.0,0.0,Yes,91,0,Yes,,,165 BROWN PLACE,BRONX,NY,10454,05/31/2024,"(40.806452, -73.921593)","(40.806452, -73.921593)",PS 43 BRONX,,337.0,347.0,0.9711815561959655,12.85,0.005763688760806916,0.011527377521613832,0.19020172910662825,0.7780979827089337,0.002881844380403458,0.0,0.011527377521613832
2023-2025,NYC DOE,P.S. 43 - QUEENS,Queens,Public School,Q043,https://www.schools.nyc.gov/schools/Q043,87.0,87.0,0.0,0.0,Yes,87,0,Yes,Yes,Complete,160 BEACH  29 STREET,Queens,NY,11691,05/31/2024,"(40.59348, -73.761086)","(40.59348, -73.761086)",PS 43 QUEENS,,572.0,615.0,0.9300813008130081,12.66,0.013008130081300813,0.013008130081300813,0.5756097560975609,0.37398373983739835,0.013008130081300813,0.004878048780487805,0.0065040650406504065
2023-2025,NYC DOE,P.S. 43 ANNEX - QUEENS,Queens,Public School,Q907,https://www.schools.nyc.gov/schools/Q043,19.0,19.0,0.0,0.0,Yes,19,0,Yes,,,12 Marvin Street,Queens,NY,11691,12/01/2023,"(40.59359, -73.760448)","(40.59359, -73.760448)",PS 43 ANNEX QUEENS,,572.0,615.0,0.9300813008130081,12.66,0.013008130081300813,0.013008130081300813,0.5756097560975609,0.37398373983739835,0.013008130081300813,0.004878048780487805,0.0065040650406504065
2023-2025,NYC DOE,P.S. 44 - BRONX,Bronx,Public School,X044,https://www.schools.nyc.gov/schools/X044,56.0,0.0,56.0,0.0,Yes,52,4,Yes,Yes,Ongoing,1825 PROSPECT AVENUE,BRONX,NY,10457,06/28/2024,"(40.842564, -73.891086)","(40.842564, -73.891086)",PS 44 BRONX,,186.0,193.0,0.9637305699481865,11.35,0.0,0.0051813471502590676,0.3160621761658031,0.6580310880829016,0.015544041450777202,0.0051813471502590676,0.0
2023-2025,NYC DOE,P.S. 44 - BROOKLYN,Kings,Public School,K044,https://www.schools.nyc.gov/schools/K044,149.0,149.0,0.0,0.0,Yes,149,0,Yes,Yes,Complete,432 MONROE STREET,Brooklyn,NY,11221,03/22/2024,"(40.686213, -73.940859)","(40.686213, -73.940859)",PS 44 BROOKLYN,,119.0,127.0,0.937007874015748,9.34,0.0,0.015748031496062992,0.6692913385826772,0.23622047244094488,0.07874015748031496,0.0,0.0
2023-2025,NYC DOE,P.S. 44 - STATEN ISLAND,Richmond,Public School,R044,https://www.schools.nyc.gov/schools/R044,98.0,98.0,0.0,0.0,Yes,98,0,Yes,,,80 MAPLE PARKWAY,Staten Island,NY,10303,12/01/2023,"(40.631689, -74.157303)","(40.631689, -74.157303)",PS 44 STATEN ISLAND,,499.0,537.0,0.9292364990689013,12.34,0.0111731843575419,0.0260707635009311,0.37057728119180633,0.49906890130353815,0.06890130353817504,0.00186219739292365,0.0223463687150838
2023-2025,NYC DOE,P.S. 45 - BROOKLYN,Kings,Public School,K045,https://www.schools.nyc.gov/schools/K045,132.0,0.0,0.0,132.0,Yes,115,17,Yes,Yes,Ongoing,84 SCHAEFER STREET,Brooklyn,NY,11207,02/21/2025,"(40.686424, -73.91043)","(40.686424, -73.91043)",PS 45 BROOKLYN,,398.0,471.0,0.8450106157112527,10.95,0.004246284501061571,0.014861995753715499,0.4012738853503185,0.5456475583864119,0.02335456475583864,0.006369426751592357,0.004246284501061571
2023-2025,NYC DOE,P.S. 45 - QUEENS,Queens,Public School,Q045,https://www.schools.nyc.gov/schools/Q045,39.0,39.0,0.0,0.0,Yes,39,0,Yes,Yes,Complete,126-28 150 STREET,Queens,NY,11436,12/15/2023,"(40.671871, -73.788866)","(40.671871, -73.788866)",PS 45 QUEENS,,381.0,412.0,0.9247572815533981,13.25,0.04611650485436893,0.050970873786407765,0.4077669902912621,0.4684466019417476,0.009708737864077669,0.0,0.01699029126213592
2023-2025,NYC DOE,P.S. 45 - STATEN ISLAND,Richmond,Public School,R045,https://www.schools.nyc.gov/schools/R045,60.0,0.0,60.0,0.0,Yes,60,0,Yes,Yes,Complete,58 LAWRENCE AVENUE,STATEN ISLAND,NY,10310,11/01/2024,"(40.628419, -74.107537)","(40.628419, -74.107537)",PS 45 STATEN ISLAND,,508.0,754.0,0.6737400530503979,13.91,0.006631299734748011,0.09018567639257294,0.16578249336870027,0.46153846153846156,0.22944297082228116,0.0,0.046419098143236075
2023-2025,NYC DOE,P.S. 46 - BRONX,Bronx,Public School,X046,https://www.schools.nyc.gov/schools/X046,122.0,122.0,0.0,0.0,Yes,122,0,Yes,Yes,Complete,279 EAST 196 STREET,Bronx,NY,10458,02/09/2024,"(40.867169, -73.890402)","(40.867169, -73.890402)",PS 46 BRONX,,557.0,590.0,0.9440677966101695,6.94,0.013559322033898305,0.04915254237288136,0.28983050847457625,0.5932203389830508,0.04915254237288136,0.003389830508474576,0.001694915254237288
