Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,P.S. 101 - QUEENS,Queens,Public School,Q101,https://www.schools.nyc.gov/schools/Q101,39.0,0.0,0.0,39.0,Yes,36,3,Yes,Yes,Ongoing,2 RUSSELL PLACE,Queens,NY,11375,04/04/2025,"(40.715543, -73.8434)","(40.715543, -73.8434)",PS 101 QUEENS,,143.0,612.0,0.23366013071895425,15.3,0.0,0.2826797385620915,0.021241830065359478,0.19444444444444445,0.35947712418300654,0.0,0.14215686274509803
2023-2025,NYC DOE,P.S. 102 - BRONX,Bronx,Public School,X102,https://www.schools.nyc.gov/schools/X531,102.0,0.0,102.0,0.0,Yes,102,0,Yes,Yes,Complete,1827 ARCHER STREET,BRONX,NY,10460,07/11/2025,"(40.838151, -73.866038)","(40.838151, -73.866038)",PS 102 BRONX,,432.0,441.0,0.9795918367346939,11.92,0.0,0.0045351473922902496,0.2290249433106576,0.7369614512471655,0.022675736961451247,0.0,0.006802721088435374
2023-2025,NYC DOE,P.S. 102 - BROOKLYN,Kings,Public School,K102,https://www.schools.nyc.gov/schools/K102,74.0,74.0,0.0,0.0,Yes,74,0,Yes,Yes,Complete,211 72 STREET,Brooklyn,NY,11209,03/22/2024,"(40.634318, -74.028758)","(40.634318, -74.028758)",PS 102 BROOKLYN,,660.0,1071.0,0.6162464985994398,12.19,0.0028011204481792717,0.1811391223155929,0.017740429505135387,0.2903828197945845,0.46218487394957986,0.0018674136321195146,0.04388422035480859
2023-2025,NYC DOE,P.S. 102 - MANHATTAN,Manhattan,Public School,M102,https://www.schools.nyc.gov/schools/M102,48.0,48.0,0.0,0.0,Yes,48,0,Yes,Yes,Complete,315 EAST 113 STREET,Manhattan,NY,10029,12/01/2023,"(40.795, -73.938418)","(40.795, -73.938418)",PS 102 MANHATTAN,,219.0,236.0,0.9279661016949152,10.73,0.00847457627118644,0.03389830508474576,0.2796610169491525,0.6398305084745762,0.025423728813559324,0.0,0.012711864406779662
2023-2025,NYC DOE,P.S. 103 - BRONX,Bronx,Public School,X103,https://www.schools.nyc.gov/schools/X103,62.0,62.0,0.0,0.0,Yes,62,0,Yes,Yes,Complete,4125 CARPENTER AVENUE,Bronx,NY,10466,12/15/2023,"(40.892198, -73.86194)","(40.892198, -73.86194)",PS 103 BRONX,,753.0,801.0,0.9400749063670412,14.18,0.02871410736579276,0.00749063670411985,0.31585518102372034,0.5942571785268415,0.039950062421972535,0.003745318352059925,0.009987515605493134
2023-2025,NYC DOE,P.S. 103 TEMP. C.R. BLDG. - X,Bronx,Public School,X923,https://www.schools.nyc.gov/schools/X103,12.0,12.0,0.0,0.0,Yes,12,0,Yes,,,4125 CARPENTER AVENUE,Bronx,NY,10466,08/17/2023,"(40.892198, -73.86194)","(40.892198, -73.86194)",PS 103 TEMP CR BLDG X,,753.0,801.0,0.9400749063670412,14.18,0.02871410736579276,0.00749063670411985,0.31585518102372034,0.5942571785268415,0.039950062421972535,0.003745318352059925,0.009987515605493134
2023-2025,NYC DOE,P.S. 104 - BROOKLYN,Kings,Public School,K104,https://www.schools.nyc.gov/schools/K104,45.0,0.0,45.0,0.0,Yes,-45292,45337,Yes,,,9115 5 AVENUE,BROOKLYN,NY,11209,02/22/2024,"(40.618077, -74.028492)","(40.618077, -74.028492)",PS 104 BROOKLYN,,745.0,1097.0,0.6791248860528715,16.78,0.0036463081130355514,0.22333637192342753,0.037374658158614404,0.2652689152233364,0.43026435733819507,0.0027347310847766638,0.037374658158614404
2023-2025,NYC DOE,P.S. 104 - QUEENS,Queens,Public School,Q104,https://www.schools.nyc.gov/schools/Q104,71.0,71.0,0.0,0.0,Yes,71,0,Yes,Yes,Complete,26-01 MOTT AVENUE,Queens,NY,11691,12/15/2023,"(40.608002, -73.764621)","(40.608002, -73.764621)",PS 104 QUEENS,,443.0,505.0,0.8772277227722772,13.32,0.04950495049504951,0.013861386138613862,0.3207920792079208,0.5762376237623762,0.033663366336633666,0.0039603960396039604,0.0019801980198019802
2023-2025,NYC DOE,P.S. 104/P.S. 185 ANNEX-K,Kings,Public School,K989,https://www.schools.nyc.gov/schools/K104,48.0,0.0,48.0,0.0,Yes,48,0,Yes,Yes,Complete,415 89 STREET,BROOKLYN,NY,11209,07/26/2024,"(40.620407, -74.028579)","(40.620407, -74.028579)",PS 104/PS 185 ANNEXK,,745.0,1097.0,0.6791248860528715,16.78,0.0036463081130355514,0.22333637192342753,0.037374658158614404,0.2652689152233364,0.43026435733819507,0.0027347310847766638,0.037374658158614404
2023-2025,NYC DOE,P.S. 105 - BRONX,Bronx,Public School,X105,https://www.schools.nyc.gov/schools/X105,61.0,0.0,61.0,0.0,Yes,61,0,Yes,Yes,Complete,725 BRADY AVENUE,BRONX,NY,10462,07/11/2025,"(40.853075, -73.866264)","(40.853075, -73.866264)",PS 105 BRONX,,622.0,665.0,0.9353383458646617,11.51,0.007518796992481203,0.12481203007518797,0.0962406015037594,0.6225563909774436,0.13233082706766916,0.004511278195488722,0.012030075187969926
2023-2025,NYC DOE,P.S. 105 - BROOKLYN,Kings,Public School,K105,https://www.schools.nyc.gov/schools/K105,73.0,73.0,0.0,0.0,Yes,73,0,Yes,,,1031 59 STREET,Brooklyn,NY,11219,10/10/2023,"(40.63332, -74.003635)","(40.63332, -74.003635)",PS 105 BROOKLYN,,1084.0,1132.0,0.9575971731448764,16.65,0.0008833922261484099,0.9204946996466431,0.0017667844522968198,0.044169611307420496,0.030918727915194347,0.0,0.0017667844522968198
2023-2025,NYC DOE,P.S. 105 - QUEENS,Queens,Public School,Q105,https://www.schools.nyc.gov/schools/Q105,108.0,0.0,108.0,0.0,Yes,108,0,Yes,Yes,Complete,420 BEACH  51 STREET,QUEENS,NY,11691,07/11/2025,"(40.595911, -73.780961)","(40.595911, -73.780961)",PS 105 QUEENS,,584.0,593.0,0.984822934232715,11.01,0.011804384485666104,0.023608768971332208,0.5632377740303541,0.3811129848229342,0.00505902192242833,0.00505902192242833,0.01011804384485666
2023-2025,NYC DOE,P.S. 106 - BRONX,Bronx,Public School,X106,https://www.schools.nyc.gov/schools/X106,152.0,152.0,0.0,0.0,Yes,152,0,Yes,Yes,Complete,1514 OLMSTEAD AVENUE,Bronx,NY,10462,02/09/2024,"(40.836974, -73.854823)","(40.836974, -73.854823)",PS 106 BRONX,,725.0,851.0,0.8519388954171563,12.09,0.01527614571092832,0.42773207990599293,0.22209165687426558,0.2972972972972973,0.022326674500587545,0.0023501762632197414,0.012925969447708578
2023-2025,NYC DOE,P.S. 106 - BROOKLYN,Kings,Public School,K106,https://www.schools.nyc.gov/schools/K106,37.0,0.0,37.0,0.0,Yes,37,0,Yes,,,1328 PUTNAM AVENUE,BROOKLYN,NY,11221,05/17/2024,"(40.693318, -73.913378)","(40.693318, -73.913378)",PS 106 BROOKLYN,,290.0,327.0,0.8868501529051988,9.93,0.0030581039755351682,0.0030581039755351682,0.08868501529051988,0.8899082568807339,0.009174311926605505,0.0030581039755351682,0.0030581039755351682
2023-2025,NYC DOE,P.S. 106 - QUEENS,Queens,Public School,Q106,https://www.schools.nyc.gov/schools/Q106,15.0,15.0,0.0,0.0,Yes,15,0,Yes,Yes,Complete,180 BEACH 35 STREET,Queens,NY,11691,08/09/2024,"(40.594738, -73.766846)","(40.594738, -73.766846)",PS 106 QUEENS,,546.0,686.0,0.7959183673469388,14.32,0.38629737609329445,0.2696793002915452,0.0597667638483965,0.21428571428571427,0.02478134110787172,0.02040816326530612,0.02478134110787172
2023-2025,NYC DOE,P.S. 106 TRANSPORTABLE - Q,Queens,Public School,Q727,https://www.schools.nyc.gov/schools/Q106,2.0,2.0,0.0,0.0,Yes,2,0,Yes,,,180 Beach 35 Street,Queens,NY,11691,08/17/2023,"(40.594738, -73.766846)","(40.594738, -73.766846)",PS 106 TRANSPORTABLE Q,,546.0,686.0,0.7959183673469388,14.32,0.38629737609329445,0.2696793002915452,0.0597667638483965,0.21428571428571427,0.02478134110787172,0.02040816326530612,0.02478134110787172
2023-2025,NYC DOE,P.S. 107 - BRONX,Bronx,Public School,X107,https://www.schools.nyc.gov/schools/X107,35.0,35.0,0.0,0.0,Yes,35,0,Yes,,,1695 SEWARD AVENUE,Bronx,NY,10473,12/01/2023,"(40.819221, -73.868735)","(40.819221, -73.868735)",PS 107 BRONX,,417.0,420.0,0.9928571428571429,11.39,0.004761904761904762,0.004761904761904762,0.29285714285714287,0.6595238095238095,0.030952380952380953,0.002380952380952381,0.004761904761904762
2023-2025,NYC DOE,P.S. 107 - BROOKLYN,Kings,Public School,K107,https://www.schools.nyc.gov/schools/K107,80.0,0.0,0.0,80.0,Yes,77,3,Yes,Yes,Ongoing,1301 8 AVENUE,Brooklyn,NY,11215,03/21/2025,"(40.662945, -73.981181)","(40.662945, -73.981181)",PS 107 BROOKLYN,,34.0,517.0,0.06576402321083172,13.67,0.0,0.07156673114119923,0.02321083172147002,0.1218568665377176,0.6769825918762089,0.0,0.10444874274661509
2023-2025,NYC DOE,P.S. 107 - QUEENS,Queens,Public School,Q107,https://www.schools.nyc.gov/schools/Q107,116.0,0.0,116.0,0.0,Yes,104,12,Yes,Yes,Ongoing,167-02 45 AVENUE,QUEENS,NY,11358,06/28/2024,"(40.755364, -73.799476)","(40.755364, -73.799476)",PS 107 QUEENS,,672.0,817.0,0.8225214198286414,15.86,0.009791921664626682,0.47368421052631576,0.0073439412484700125,0.4638922888616891,0.03671970624235006,0.0012239902080783353,0.0073439412484700125
2023-2025,NYC DOE,P.S. 108 - BRONX,Bronx,Public School,X108,https://www.schools.nyc.gov/schools/X108,48.0,0.0,0.0,48.0,Yes,32,16,Yes,Yes,Ongoing,1166 NEILL AVENUE,Bronx,NY,10461,04/04/2025,"(40.8547, -73.8532)","(40.8547, -73.8532)",PS 108 BRONX,,504.0,518.0,0.972972972972973,14.8,0.0019305019305019305,0.1525096525096525,0.04633204633204633,0.36293436293436293,0.42084942084942084,0.0,0.015444015444015444
2023-2025,NYC DOE,P.S. 108 - BROOKLYN,Kings,Public School,K108,https://www.schools.nyc.gov/schools/K108,37.0,37.0,0.0,0.0,Yes,37,0,Yes,Yes,Complete,200 LINWOOD STREET,Brooklyn,NY,11208,05/31/2024,"(40.681295, -73.884348)","(40.681295, -73.884348)",PS 108 BROOKLYN,,603.0,660.0,0.9136363636363637,13.75,0.025757575757575757,0.024242424242424242,0.09848484848484848,0.8196969696969697,0.021212121212121213,0.0015151515151515152,0.00909090909090909
2023-2025,NYC DOE,P.S. 108 - MANHATTAN,Manhattan,Public School,M108,https://www.schools.nyc.gov/schools/M108,62.0,0.0,62.0,0.0,Yes,53,9,Yes,Yes,Ongoing,1615 MADISON AVENUE,MANHATTAN,NY,10029,06/28/2024,"(40.795032, -73.947855)","(40.795032, -73.947855)",PS 108 MANHATTAN,,346.0,364.0,0.9505494505494505,10.11,0.0027472527472527475,0.024725274725274724,0.23901098901098902,0.6868131868131868,0.03296703296703297,0.005494505494505495,0.008241758241758242
