Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,SAYVILLE UNION FREE SCHOOL,CHERRY AVENUE ELEM SCHOOL,Suffolk,Public School,580504030001,https://www.sayvilleschools.org/,10.0,0.0,0.0,10.0,Yes,10,0,Yes,,,155 CHERRY AVE,WEST SAYVILLE,NY,11796,02/13/2025,,,CHERRY AVENUE  SCHOOL,,30.0,367.0,0.08174386920980926,12.23,0.0,0.005449591280653951,0.0,0.08446866485013624,0.8719346049046321,0.0,0.03814713896457766
2023-2025,SAYVILLE UNION FREE SCHOOL,LINCOLN AVENUE ELEM SCHOOL,Suffolk,Public School,580504030006,https://www.sayvilleschools.org/,18.0,0.0,0.0,18.0,Yes,18,0,Yes,,,440 LINCOLN AVE,SAYVILLE,NY,11782,02/13/2025,,,LINCOLN AVENUE  SCHOOL,,60.0,414.0,0.14492753623188406,11.14,0.0,0.03140096618357488,0.021739130434782608,0.1111111111111111,0.7971014492753623,0.0,0.03864734299516908
2023-2025,SAYVILLE UNION FREE SCHOOL,SAYVILLE H S,Suffolk,Public School,580504030004,https://www.sayvilleschools.org/,35.0,,,35.0,Yes,32,3,Yes,Yes,Ongoing,20 BROOK ST,WEST SAYVILLE,NY,11796,03/05/2025,,,SAYVILLE S,,109.0,850.0,0.12823529411764706,10.49,0.001176470588235294,0.024705882352941175,0.0058823529411764705,0.08588235294117647,0.8564705882352941,0.0,0.02588235294117647
2023-2025,SAYVILLE UNION FREE SCHOOL,SAYVILLE MIDDLE SCHOOL,Suffolk,Public School,580504030005,https://www.sayvilleschools.org/,33.0,0.0,0.0,33.0,Yes,31,2,Yes,Yes,Ongoing,JOHNSON AVE,SAYVILLE,NY,11782,03/05/2025,,,SAYVILLE MIDDLE SCHOOL,,77.0,604.0,0.12748344370860928,11.06,0.0016556291390728477,0.016556291390728478,0.011589403973509934,0.08278145695364239,0.8625827814569537,0.0016556291390728477,0.023178807947019868
2023-2025,SAYVILLE UNION FREE SCHOOL,SUNRISE DRIVE ELEM SCHOOL,Suffolk,Public School,580504030003,https://www.sayvilleschools.org/,12.0,0.0,0.0,12.0,Yes,12,0,Yes,Yes,,SUNRISE DR,SAYVILLE,NY,11782,03/05/2025,,,SUNRISE DRIVE  SCHOOL,,33.0,392.0,0.08418367346938775,10.48,0.0,0.007653061224489796,0.01020408163265306,0.07653061224489796,0.8724489795918368,0.0,0.03316326530612245
2023-2025,SCARSDALE UNION FREE SCHOOL,EDGEWOOD SCHOOL,Westchester,Public School,662001030001,https://www.scarsdaleschools.k12.ny.us/Page/26540,32.0,32.0,0.0,0.0,Yes,26,6,Yes,Yes,Not Started,ROOSEVELT PL,SCARSDALE,NY,10583,11/10/2023,,,EDGEWOOD SCHOOL,,,,,12.73,,,,,,,
2023-2025,SCARSDALE UNION FREE SCHOOL,FOX MEADOW SCHOOL,Westchester,Public School,662001030002,https://www.scarsdaleschools.k12.ny.us/Page/26540,27.0,27.0,0.0,0.0,Yes,24,3,Yes,Yes,Not Started,59 BREWSTER RD,SCARSDALE,NY,10583,11/10/2023,,,FOX MEADOW SCHOOL,,,,,13.26,,,,,,,
2023-2025,SCARSDALE UNION FREE SCHOOL,GREENACRES SCHOOL,Westchester,Public School,662001030003,https://www.scarsdaleschools.k12.ny.us/Page/26540,41.0,41.0,0.0,0.0,Yes,40,1,Yes,Yes,Not Started,41 HUNTINGTON AVE,SCARSDALE,NY,10583,11/10/2023,,,GREENACRES SCHOOL,,,,,11.41,,,,,,,
2023-2025,SCARSDALE UNION FREE SCHOOL,HEATHCOTE SCHOOL,Westchester,Public School,662001030004,https://www.scarsdaleschools.k12.ny.us/Page/26540,21.0,21.0,0.0,0.0,Yes,19,2,Yes,Yes,Not Started,PALMER AVE,SCARSDALE,NY,10583,11/10/2023,,,HEATHCOTE SCHOOL,,,,,11.04,,,,,,,
2023-2025,SCARSDALE UNION FREE SCHOOL,QUAKER RIDGE SCHOOL,Westchester,Public School,662001030005,https://www.scarsdaleschools.k12.ny.us/Page/26540,43.0,43.0,0.0,0.0,Yes,36,7,Yes,Yes,Not Started,125 WEAVER ST,SCARSDALE,NY,10583,11/10/2023,,,QUAKER RIDGE SCHOOL,,,,,11.16,,,,,,,
2023-2025,SCARSDALE UNION FREE SCHOOL,SCARSDALE J H S,Westchester,Public School,662001030011,https://www.scarsdaleschools.k12.ny.us/Page/26540,39.0,39.0,0.0,0.0,Yes,33,6,Yes,Yes,Not Started,MAMARONECK RD,SCARSDALE,NY,10583,11/10/2023,,,SCARSDALE S,,,,,11.42,,,,,,,
2023-2025,SCARSDALE UNION FREE SCHOOL,SCARSDALE S H S,Westchester,Public School,662001030010,https://www.scarsdaleschools.k12.ny.us/Page/26540,51.0,51.0,0.0,0.0,Yes,0,0,Yes,,,1057 POST RD,SCARSDALE,NY,10583,11/10/2023,,,SCARSDALE S,,,,,10.65,,,,,,,
2023-2025,SCHALMONT CENT SCH-ROTTERDAM,JEFFERSON ELEMENTARY SCHOOL,Schenectady,Public School,530501060003,www.schalmont.org,75.0,,,75.0,,73,2,Yes,Yes,Ongoing,100 PRINCETOWN RD,SCHENECTADY,NY,12306,02/03/2025,,,JEFFERSON ELEMENTARY SCHOOL,,165.0,685.0,0.24087591240875914,14.2,0.004379562043795621,0.024817518248175182,0.021897810218978103,0.08321167883211679,0.7722627737226277,0.00291970802919708,0.0905109489051095
2023-2025,SCHALMONT CENT SCH-ROTTERDAM,SCHALMONT HIGH  SCHOOL,Schenectady,Public School,530501060006,www.schalmont.org,30.0,,,30.0,Yes,29,1,Yes,Yes,Ongoing,1 SABRE DR,SCHENECTADY,NY,12306,02/03/2025,,,SCHALMONT HIGH SCHOOL,,163.0,541.0,0.30129390018484287,10.99,0.0073937153419593345,0.022181146025878003,0.018484288354898338,0.08687615526802218,0.8151571164510166,0.005545286506469501,0.04436229205175601
2023-2025,SCHALMONT CENT SCH-ROTTERDAM,SCHALMONT MIDDLE SCHOOL,Schenectady,Public School,530501060004,www.schalmont.org,26.0,,,26.0,Yes,27,0,Yes,,Complete,2 SABRE DR,SCHENECTADY,NY,12306,02/03/2025,,,SCHALMONT MIDDLE SCHOOL,,147.0,555.0,0.2648648648648649,9.97,0.009009009009009009,0.018018018018018018,0.03783783783783784,0.06306306306306306,0.8108108108108109,0.009009009009009009,0.05225225225225225
2023-2025,SCHALMONT CENT SCH-ROTTERDAM,WOESTINA ELEMENTARY,Schenectady,Public School,530501060005,www.schalmont.org,14.0,,,14.0,Yes,4,10,Yes,Yes,Ongoing,1292 MAIN STREET,ROTTERDAM JUNCTION,NY,12150,05/19/2025,,,WOESTINA ELEMENTARY,,,,,,,,,,,,
2023-2025,SCHENECTADY CITY SCHOOLS,(LEAD ONLY) ELMER AVENUE SCHOOL (HOWE FOR THIS YEAR),Schenectady,Public School,530600010003,https://www.schenectadyschools.org,19.0,,,19.0,Yes,19,0,Yes,,,90 ELMER AVE,SCHENECTADY,NY,12308,07/29/2025,,,ELMER AVENUE SCHOOL,,,,,,,,,,,,
2023-2025,SCHENECTADY CITY SCHOOLS,CENTRAL PARK MAGNET SCHOOL,Schenectady,Public School,530600010034,https://www.schenectadyschools.org,15.0,,,15.0,Yes,15,0,Yes,,,421 ELM ST.,SCHENECTADY,NY,12304,07/29/2025,,,CENTRAL PARK MAGNET SCHOOL,,434.0,584.0,0.7431506849315068,9.35,0.0,0.2825342465753425,0.2722602739726027,0.20034246575342465,0.14897260273972604,0.0,0.0958904109589041
2023-2025,SCHENECTADY CITY SCHOOLS,FULTON EARLY CHILDHOOD CENTER,Schenectady,Public School,530600010006,https://www.schenectadyschools.org,12.0,,,12.0,Yes,8,4,Yes,Yes,Ongoing,408 ELEANOR ST,SCHENECTADY,NY,12306,07/31/2025,,,FULTON EARLY CHILDHOOD CENTER,,,,,,,,,,,,
2023-2025,SCHENECTADY CITY SCHOOLS,HAMILTON ELEM SCHOOL,Schenectady,Public School,530600010009,https://www.schenectadyschools.org/page/testing-water-for-lead,9.0,9.0,,,,8,1,,Yes,Complete,1091 WEBSTER ST,SCHENECTADY,NY,12303,04/04/2023,,,HAMILTON  SCHOOL,,333.0,429.0,0.7762237762237763,11.12,0.009324009324009324,0.21445221445221446,0.2191142191142191,0.3146853146853147,0.13752913752913754,0.004662004662004662,0.10023310023310024
2023-2025,SCHENECTADY CITY SCHOOLS,HOWE SCHOOL,Schenectady,Public School,530600010010,https://www.schenectadyschools.org,19.0,,,19.0,Yes,19,0,Yes,,,BAKER AVE,SCHENECTADY,NY,12309,07/31/2025,,,HOWE SCHOOL,,294.0,414.0,0.7101449275362319,12.28,0.00966183574879227,0.17149758454106281,0.2391304347826087,0.2222222222222222,0.20772946859903382,0.0024154589371980675,0.1473429951690821
2023-2025,SCHENECTADY CITY SCHOOLS,JESSIE T ZOLLER SCHOOL,Schenectady,Public School,530600010018,https://www.schenectadyschools.org,33.0,,,33.0,Yes,33,0,Yes,,,1880 LANCASTER ST,SCHENECTADY,NY,12308,07/29/2025,,,JESSIE ZOLLER SCHOOL,,292.0,442.0,0.6606334841628959,12.59,0.006787330316742082,0.19683257918552036,0.24434389140271492,0.19457013574660634,0.2149321266968326,0.004524886877828055,0.13800904977375567
2023-2025,SCHENECTADY CITY SCHOOLS,KEANE ELEMENTARY SCHOOL,Schenectady,Public School,530600010030,https://www.schenectadyschools.org,20.0,,,20.0,Yes,17,3,Yes,Yes,Not Started,1252 ALBANY STREET,SCHENECTADY,NY,12304,07/29/2025,,,KEANE ELEMENTARY SCHOOL,,184.0,257.0,0.7159533073929961,8.43,0.011673151750972763,0.3346303501945525,0.1828793774319066,0.23346303501945526,0.08949416342412451,0.03501945525291829,0.11284046692607004
2023-2025,SCHENECTADY CITY SCHOOLS,LINCOLN SCHOOL,Schenectady,Public School,530600010011,https://www.schenectadyschools.org,19.0,,,19.0,Yes,17,2,Yes,Yes,Not Started,ROBINSON ST,SCHENECTADY,NY,12304,07/29/2025,,,LINCOLN SCHOOL,,229.0,310.0,0.7387096774193549,11.18,0.0032258064516129032,0.20967741935483872,0.2806451612903226,0.27419354838709675,0.09032258064516129,0.0032258064516129032,0.13870967741935483
2023-2025,SCHENECTADY CITY SCHOOLS,MARTIN LUTHER KING SCHOOL,Schenectady,Public School,530600010008,http://www.schenectadyschools.org,63.0,,,19.0,No,54,1,No,Yes,Ongoing,918 STANLEY ST,SCHENECTADY,NY,12307,08/01/2025,,,MARTIN LUTHER KING SCHOOL,,288.0,391.0,0.7365728900255755,10.8,0.01278772378516624,0.29411764705882354,0.2659846547314578,0.24296675191815856,0.08439897698209718,0.010230179028132993,0.08951406649616368
2023-2025,SCHENECTADY CITY SCHOOLS,MOUNT PLEASANT MIDDLE SCHOOL,Schenectady,Public School,530600010024,https://www.schenectadyschools.org,46.0,,,46.0,Yes,46,0,Yes,,,1121 FOREST RD,SCHENECTADY,NY,12203,07/31/2025,,,MOUNT PLEASANT MIDDLE SCHOOL,,528.0,708.0,0.7457627118644068,12.06,0.0,0.22598870056497175,0.2612994350282486,0.2542372881355932,0.12429378531073447,0.00423728813559322,0.12994350282485875
2023-2025,SCHENECTADY CITY SCHOOLS,ONEIDA MIDDLE SCHOOL,Schenectady,Public School,530600010035,https://www.schenectadyschools.org/page/testing-water-for-lead,83.0,83.0,,,No,77,6,No,Yes,Complete,1529 ONEIDA ST,SCHENECTADY,NY,12308,03/24/2023,,,ONEIDA MIDDLE SCHOOL,,,,,10.67,,,,,,,
2023-2025,SCHENECTADY CITY SCHOOLS,PAIGE ELEM SCHOOL,Schenectady,Public School,530600010013,https://www.schenectadyschools.org,43.0,,,43.0,Yes,43,0,Yes,,,104 ELLIOTT,SCHENECTADY,NY,12304,07/29/2025,,,PAIGE  SCHOOL,,304.0,454.0,0.6696035242290749,11.58,0.004405286343612335,0.31057268722466963,0.17400881057268722,0.21585903083700442,0.17180616740088106,0.006607929515418502,0.11674008810572688
2023-2025,SCHENECTADY CITY SCHOOLS,PLEASANT VALLEY SCHOOL,Schenectady,Public School,530600010014,https://www.schenectadyschools.org,9.0,,,9.0,Yes,9,0,Yes,,,FOREST RD,SCHENECTADY,NY,12303,07/31/2025,,,PLEASANT VALLEY SCHOOL,,269.0,369.0,0.7289972899728997,10.83,0.005420054200542005,0.25745257452574527,0.25203252032520324,0.2764227642276423,0.10569105691056911,0.005420054200542005,0.0975609756097561
