Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,NYC DOE,JACKSON AF - QUEENS,Queens,Public School,Q491,https://www.schools.nyc.gov/schools/Q313,1.0,0.0,0.0,1.0,Yes,1,0,Yes,Yes,,207-01 116 Avenue,Queens,NY,11411,05/16/2025,"(40.698786, -73.74633)","(40.698786, -73.74633)",JACKSON AF QUEENS,,995.0,1183.0,0.8410819949281487,12.44,0.0033812341504649195,0.8427726120033813,0.01014370245139476,0.12510566356720204,0.011834319526627219,0.0,0.006762468300929839
2023-2025,NYC DOE,JAMAICA HS - Q,Queens,Public School,Q470,https://www.schools.nyc.gov/schools/Q350,52.0,0.0,0.0,52.0,Yes,51,1,Yes,Yes,Ongoing,167-01 GOTHIC DRIVE,Queens,NY,11432,03/21/2025,"(40.714551, -73.798658)","(40.714551, -73.798658)",JAMAICA  Q,,216.0,242.0,0.8925619834710744,9.67,0.0371900826446281,0.11983471074380166,0.45867768595041325,0.32644628099173556,0.01652892561983471,0.01652892561983471,0.024793388429752067
2023-2025,NYC DOE,JAMES MADISON HS - K,Kings,Public School,K425,https://www.schools.nyc.gov/schools/K425,66.0,0.0,0.0,66.0,Yes,57,9,Yes,Yes,Ongoing,3787 BEDFORD AVENUE,Brooklyn,NY,11229,04/04/2025,"(40.610499, -73.947661)","(40.610499, -73.947661)",JAMES MADISON  K,,2742.0,3766.0,0.7280934678704195,16.98,0.0037174721189591076,0.194105151354222,0.10647902283590016,0.16356877323420074,0.5106213489113117,0.0037174721189591076,0.017525225703664365
2023-2025,NYC DOE,JAMES MONROE EDUCATIONAL CAMPUS - X,Bronx,Public School,X420,https://www.schools.nyc.gov/schools/X521,62.0,0.0,0.0,62.0,Yes,57,5,Yes,Yes,Ongoing,1300 BOYNTON AVENUE,Bronx,NY,10472,04/18/2025,"(40.832508, -73.878191)","(40.832508, -73.878191)",JAMES MONROE EDUCATIONAL CAMPUS X,,505.0,537.0,0.9404096834264432,10.28,0.0111731843575419,0.035381750465549346,0.16201117318435754,0.7821229050279329,0.0074487895716946,0.0,0.00186219739292365
2023-2025,NYC DOE,JAMES MONROE HS CAMPUS ANNEX - BRONX,Bronx,Public School,X423,https://www.schools.nyc.gov/schools/X242,82.0,0.0,0.0,82.0,Yes,79,3,Yes,Yes,Ongoing,1551 East 172 Street,Bronx,NY,10472,04/18/2025,"(40.832508, -73.878191)","(40.832508, -73.878191)",JAMES MONROE  CAMPUS ANNEX BRONX,,505.0,537.0,0.9404096834264432,10.28,0.0111731843575419,0.035381750465549346,0.16201117318435754,0.7821229050279329,0.0074487895716946,0.0,0.00186219739292365
2023-2025,NYC DOE,JANE ADDAMS HS - X,Bronx,Public School,X650,https://www.schools.nyc.gov/schools/X202,64.0,0.0,0.0,64.0,Yes,58,6,Yes,Yes,Ongoing,900 TINTON AVENUE,Bronx,NY,10456,03/21/2025,"(40.821723, -73.902892)","(40.821723, -73.902892)",JANE ADDAMS  X,,,,,,,,,,,,
2023-2025,NYC DOE,Jerome Park Educational Building,Bronx,Public School,X779,https://www.schools.nyc.gov/schools/X315,47.0,0.0,47.0,0.0,Yes,47,0,Yes,,,2865 CLAFLIN AVENUE,BRONX,NY,10468,06/28/2024,"(40.873659, -73.900068)","(40.873659, -73.900068)",Jerome Park Educational Building,,,,,,,,,,,,
2023-2025,NYC DOE,JEROME PARKER CAMPUS - S.I.,Richmond,Public School,R043,https://www.schools.nyc.gov/schools/R047,99.0,99.0,0.0,0.0,Yes,99,0,Yes,Yes,Complete,100 ESSEX DRIVE,Staten Island,NY,10314,07/12/2024,"(40.581958, -74.159343)","(40.581958, -74.159343)",JEROME PARKER CAMPUS SI,,,,,,,,,,,,
2023-2025,NYC DOE,Joanne Seminara School of Law and Medicine,Kings,Public School,K053,https://www.schools.nyc.gov/schools/K413,63.0,0.0,0.0,63.0,Yes,63,0,Yes,,,280 Senator Street,Brooklyn,NY,11220,03/21/2025,"(40.637073, -74.025513)","(40.637073, -74.025513)",Joanne Seminara School of Law and Medicine,,,,,,,,,,,,
2023-2025,NYC DOE,JOHN ADAMS HS - QUEENS,Queens,Public School,Q480,https://www.schools.nyc.gov/schools/Q480,57.0,0.0,0.0,57.0,Yes,50,7,Yes,Yes,Ongoing,101-01 ROCKAWAY BOULEVARD,Queens,NY,11417,02/21/2025,"(40.680065, -73.838616)","(40.680065, -73.838616)",JOHN ADAMS  QUEENS,,2059.0,2431.0,0.8469765528589058,14.06,0.030851501439736733,0.2895927601809955,0.22912381735911147,0.39819004524886875,0.03784450843274373,0.0049362402303578775,0.009461127108185932
2023-2025,NYC DOE,John Adams HS Annex - Queens,Queens,Public School,Q781,https://www.schools.nyc.gov/schools/Q374,16.0,0.0,0.0,16.0,Yes,16,0,Yes,Yes,,120-27 141st Street,Queens,NY,11436,04/04/2025,"(40.675626, -73.799756)","(40.675626, -73.799756)",John Adams  Annex Queens,,2059.0,2431.0,0.8469765528589058,14.06,0.030851501439736733,0.2895927601809955,0.22912381735911147,0.39819004524886875,0.03784450843274373,0.0049362402303578775,0.009461127108185932
